t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-5.97302634834098e-06,0.0377665951953941,243.940547685114,0.000162305341260187,35869.3592510902
45,NaN,NaN,NaN,NaN,9974199.52712972
85,NaN,NaN,175.364432585457,NaN,NaN
95,NaN,NaN,NaN,NaN,6962990.18302094
150,NaN,NaN,272.64372886199,NaN,4094947.14748135
200,0.000324133418485112,NaN,NaN,NaN,1886170.20736686
250,NaN,NaN,227.229548719238,NaN,1643231.09111154
300,NaN,NaN,NaN,NaN,1098809.06539373
400,7.76262175870901e-05,0.0230013302837277,232.436464623812,NaN,646042.77271206
500,NaN,NaN,273.136342374185,NaN,101080.378110586
550,NaN,NaN,NaN,0.00417053037668891,NaN
600,1.97116469988613e-05,NaN,NaN,NaN,191194.418926668
650,NaN,NaN,232.71141094391,NaN,NaN
700,NaN,NaN,NaN,NaN,-117338.278109296
800,1.26720517823976e-05,0.0248501780779883,NaN,NaN,NaN
850,NaN,NaN,258.246227022383,NaN,-330476.597056793
1000,4.3315902102282e-07,0.0254675872893426,218.612473298183,0.00346068610182843,NaN
1500,2.66182324944371e-07,0.0366737881043495,NaN,0.00246143166181562,NaN
2500,NaN,0.0276249734611478,NaN,0.00123393403614754,NaN
3000,NaN,0.0289140531910232,NaN,0.00140719674967356,NaN
3500,NaN,0.0331064090384097,NaN,NaN,NaN
4000,NaN,NaN,NaN,0.000530489268017168,NaN
4500,NaN,0.0298435381839735,NaN,NaN,NaN
5000,NaN,NaN,NaN,0.000381942180676916,NaN
5500,NaN,0.0302446808190502,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.000162666539915331,NaN
7000,NaN,NaN,NaN,1.08553561731082e-05,NaN
8500,NaN,NaN,NaN,-0.000106510445985308,NaN
