t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,7.21992296661981e-06,0.0291214783196191,203.110357812263,0.000146412814903406,313429.620448182
50,NaN,NaN,226.872959272254,NaN,NaN
70,NaN,NaN,NaN,NaN,5203558.46546026
95,NaN,NaN,279.141896984822,NaN,NaN
150,NaN,NaN,225.638700870219,NaN,4652177.0617421
200,NaN,NaN,265.662913196687,NaN,3091282.40927655
250,0.000295421442455808,NaN,212.18447564558,NaN,NaN
300,NaN,NaN,NaN,NaN,1675269.3554461
350,NaN,NaN,260.457901883522,NaN,NaN
400,NaN,0.0251434423708822,247.212039749174,NaN,635373.748827302
500,NaN,NaN,268.713847560118,0.00443052046579529,503858.513802953
550,6.54680747777379e-05,NaN,NaN,NaN,NaN
600,NaN,NaN,263.776171370368,NaN,255971.675134169
750,NaN,NaN,211.644143490463,NaN,325648.184468404
800,NaN,0.0275100540713411,NaN,NaN,NaN
850,1.56072245667799e-05,NaN,164.98746984356,NaN,NaN
900,NaN,NaN,NaN,NaN,-214400.349170728
1000,7.91930519109653e-07,0.017460513948593,NaN,0.0042746249611129,-153480.018536499
1500,5.25479211072258e-06,0.0297347709415577,NaN,0.00312933754074859,210945.461256478
2000,-9.23993764703329e-06,0.0306940826906903,NaN,0.00223877157491789,NaN
3000,NaN,0.0325324351068839,NaN,0.00117966730460396,NaN
3500,NaN,0.0337611040814035,NaN,0.000966038983861071,NaN
4500,NaN,0.0326088984425724,NaN,0.000124438944169532,NaN
5500,NaN,0.031934888467206,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.000365942544540658,NaN
6500,NaN,0.0355473042955477,NaN,NaN,NaN
7000,NaN,NaN,NaN,3.07356248900089e-05,NaN
8500,NaN,NaN,NaN,0.000249515836463834,NaN
