t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,5.49971618492042e-06,0.0357047373930271,266.163277844018,0.000208276335359238,-3071.99942533536
35,NaN,NaN,NaN,NaN,12915097.3623245
75,NaN,NaN,NaN,NaN,7626863.00083168
100,NaN,NaN,179.756838408843,NaN,5960169.02062869
150,NaN,NaN,NaN,NaN,3442954.95231355
200,0.000266580140936957,NaN,238.124793690937,NaN,1285152.82908804
250,NaN,NaN,NaN,NaN,678670.382573496
300,NaN,0.0142674216739392,295.125703893776,NaN,1309882.88748422
350,9.08619869017715e-05,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,-221525.367734301
450,NaN,NaN,173.779253294548,NaN,-558388.94883912
500,NaN,NaN,NaN,0.00431064798340547,NaN
550,NaN,NaN,242.869915270619,NaN,-257857.277119144
600,3.09832430442656e-06,0.0316399871342609,NaN,NaN,NaN
700,NaN,NaN,231.960147779819,NaN,-1036912.99032761
850,-3.43473335030231e-06,NaN,NaN,NaN,NaN
900,NaN,0.0271809733937228,255.976220859198,NaN,NaN
950,NaN,NaN,NaN,0.00323901516016526,NaN
1000,-1.24470707651566e-07,0.0260688380532835,285.655387487095,NaN,NaN
1500,6.92744055080808e-06,0.0285049277393857,180.040917718105,0.00231002575312696,NaN
2000,NaN,0.0256501355786383,249.934930063696,0.00159071931814675,NaN
2500,NaN,0.0283866161753122,NaN,0.00140621628611202,NaN
3000,NaN,0.0296205155567685,NaN,NaN,NaN
3500,NaN,NaN,NaN,0.000629936438058946,NaN
4000,NaN,0.0410326535160397,NaN,0.000605313695394057,NaN
4500,NaN,0.0315117217010111,NaN,NaN,NaN
5000,NaN,NaN,NaN,0.000358175366136325,NaN
6000,NaN,NaN,NaN,0.00040487946195018,NaN
7500,NaN,NaN,NaN,-2.59676878363655e-06,NaN
8500,NaN,NaN,NaN,0.000201539755172058,NaN
