t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,7.3479114871409e-06,0.0354328134312769,228.316291087125,0.000229489542301014,74870.5350024965
55,NaN,NaN,206.936914451986,NaN,NaN
100,NaN,NaN,232.630941016693,NaN,2428595.80589694
150,NaN,NaN,269.225553073943,NaN,NaN
250,0.000270043891101643,NaN,185.082634883102,NaN,1944428.79299175
300,NaN,NaN,243.250311909994,NaN,NaN
350,NaN,NaN,NaN,NaN,1286658.50029124
400,NaN,0.0257434771649011,251.880096652356,NaN,NaN
500,NaN,NaN,216.061623016125,NaN,948750.848852527
550,0.000148517747290046,NaN,NaN,0.00402921651508167,NaN
600,NaN,NaN,230.609501098047,NaN,NaN
700,NaN,NaN,NaN,NaN,377904.166351205
750,NaN,NaN,234.04340319478,NaN,NaN
800,NaN,0.0186381856807863,NaN,NaN,NaN
850,3.74955173772221e-05,NaN,NaN,NaN,NaN
900,NaN,NaN,261.65982149783,NaN,256073.963588296
1000,3.18358027060455e-05,0.026537508492413,NaN,0.00476986599803098,245543.736708224
1500,1.66747915534945e-05,0.0256609996353025,NaN,0.00398880604954591,NaN
2000,4.31967013889728e-06,0.0360600540767535,NaN,NaN,NaN
2500,NaN,0.0340151538290119,NaN,0.00245583637907776,NaN
3000,NaN,NaN,NaN,0.00151304250635143,NaN
3500,NaN,0.0336427329808978,NaN,NaN,NaN
4000,NaN,0.0392562544270894,NaN,0.000712626715487447,NaN
5000,NaN,0.0262506716780765,NaN,0.000239248642112668,NaN
6000,NaN,0.0305724608188329,NaN,1.62377582805853e-05,NaN
7000,NaN,0.0315794761425061,NaN,0.000142399901219637,NaN
8500,NaN,NaN,NaN,-0.000152634044013844,NaN
