t,IR_Obs,IRins_Obs,IRp_Obs,IRi_Obs,IRSiP_Obs
0,10.0281102282664,0.74725907246203,8.12628941486499e-10,-0.460461962732107,0.131799323585284
1.5,0.0414704435694142,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,3.32797704512407
2.5,NaN,9.50828723426962,4.50433144443528e-07,NaN,NaN
3.5,0.0543647364504039,NaN,NaN,0.300975424828222,NaN
4.5,NaN,NaN,NaN,NaN,2.75797805255212
5,NaN,NaN,3.73802340890135e-07,NaN,NaN
5.5,0.133247517212862,9.37566331074717,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,2.92892309888123
7.5,-0.169898565422828,NaN,3.14875395668144e-07,2.04354307356977,NaN
8.5,NaN,7.26273958441558,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,3.20168410299563
10,-0.105315040036241,7.59466990570547,3.14237712616017e-07,1.74987708129765,2.86287830593862
15,0.194697200445261,5.44739917588029,3.41624197408809e-07,2.88444009218875,2.95040915828891
20,0.110929430382662,6.01337636571051,3.12653424375996e-07,3.79574746374347,2.64567870099272
25,-0.181513011089411,7.04560206817918,2.87540245914534e-07,3.40058616822351,2.88370140967376
30,NaN,4.95393366889131,2.36727147991188e-07,NaN,2.05685013979143
35,NaN,5.27885191448988,1.90897765617549e-07,5.0093682303699,NaN
40,NaN,NaN,NaN,5.67046389633442,NaN
45,NaN,5.55645974752906,2.14312641852646e-07,NaN,NaN
50,NaN,4.55723881351675,NaN,5.81889460009731,NaN
55,NaN,NaN,2.18866466771416e-07,NaN,NaN
60,NaN,NaN,NaN,5.2497349274864,NaN
70,NaN,NaN,NaN,5.2229489563352,NaN
