t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,Compound_1_Obs
0,0.00598857664166909,0.000564441850770035,0.140536145148676
5.5,NaN,NaN,0.132927178142648
6,NaN,0.000518327960635351,NaN
8,0.00515899842474666,NaN,NaN
10,NaN,0.000497449087645214,0.12934325941416
15,0.00557193499347735,NaN,NaN
20,NaN,0.000525958110942401,0.150019386845269
25,0.00553415960979495,0.000531117456882514,0.139113190875016
30,NaN,NaN,0.138094278728513
35,0.00454533742568183,0.000520818975570406,NaN
40,NaN,0.000526319652274284,0.15077331250101
45,0.00557914353774466,NaN,NaN
50,NaN,0.000543360831608375,0.124971727883195
60,0.0048187923336135,NaN,0.130596737932803
65,NaN,0.000553705889402437,NaN
70,0.00510020393526324,NaN,0.149385243001128
80,NaN,0.00053523170263043,NaN
85,NaN,NaN,0.135252700880494
90,0.00560816928121058,NaN,NaN
95,NaN,0.00053870125462426,NaN
100,0.0048387025648441,NaN,0.136686200405395
150,0.00534661037803521,NaN,NaN
