t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,Compound_1_Obs
0,0.00532451328273711,0.000514501147829484,0.145186902830101
5,0.000473996190504504,NaN,NaN
5.5,NaN,3.98801575153331e-05,0.179336506294669
10,0.000249966143075322,1.84519583611329e-05,0.216303100154261
15,0.000164843589196621,NaN,0.217509202793201
20,6.53615764200615e-05,1.11335291229858e-05,NaN
25,NaN,1.21139406164199e-05,0.220334377690129
30,5.3741006139624e-05,NaN,NaN
35,5.66272011533189e-05,8.4449414038052e-06,0.243206963863688
40,NaN,8.72389797092118e-06,NaN
45,-8.25172961274208e-06,NaN,0.223776792778556
