t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,Compound_1_Obs
0,0.00454124103131784,0.000445210802003885,0.129480949165192
4,0.101519290693422,NaN,NaN
4.5,NaN,0.0107037563808307,0.206102691869384
8.5,0.0722652313002207,0.0075571284620323,NaN
9.5,NaN,NaN,0.241089683721104
15,0.0568450056171248,0.0054549065401166,0.24385582337218
20,0.048031320234058,0.00518496690978619,0.204044072834765
25,0.0543228140427549,0.00503938035356768,0.230891682373059
30,0.053589280423245,0.00511578029084448,NaN
35,NaN,NaN,0.239043279803796
40,0.048073005581619,0.00477176112978948,0.24866382081404
45,0.0544565310293615,0.00577139423689414,NaN
50,NaN,NaN,0.194225151089689
55,NaN,0.00542835535191176,NaN
60,0.0605626046256157,NaN,NaN
65,NaN,NaN,0.239392327257604
70,0.0497438578751076,0.00563230518738458,NaN
