t,JAK1_gp130_Obs,Compound_2_Obs
0,0.2096278006312,31.9116951101014
15,NaN,22.5456799609795
20,0.158505912302364,NaN
30,NaN,30.0694926580954
40,0.135931383829892,NaN
45,NaN,22.2901364709559
60,0.143608569517219,NaN
65,NaN,25.02437418563
80,NaN,27.8039717886061
85,0.138088871157185,NaN
100,0.100854612803348,25.7864813725769
150,0.105769802448274,21.3145004531485
200,0.10472053058865,24.8776148169077
250,0.0926590767745639,25.0150265177319
300,0.1106194796283,22.6271854288502
350,0.124971488090324,NaN
