t,input_il6,nSOCS3RNA5_Obs
22,0.1,-0.00172053339533402
22,0.1,-0.00128106951859146
22,0.1,-0.000394878333767581
22,0.1,0.000213590207472006
22,1,-0.00117127436984169
22,1,-0.000996366133082293
22,1,-0.000822658401733177
22,1,-0.000579156123019323
22,5,-0.00116627220468247
22,5,0.00165492753910213
22,5,0.00255646939668411
22,5,0.00481568586864149
22,10,-0.0026139704661816
22,10,-0.00164534276242724
22,10,-0.000516804331612367
22,10,0.00231974385062157
22,50,0.00814920500936697
22,50,0.00863156042360354
22,50,0.008989388514508
22,50,0.0128893096182848
22,100,0.0169291119020982
22,100,0.017414260064534
22,100,0.0185821714624656
22,100,0.0204175886263301
22,500,0.037514337342413
22,500,0.040232815462891
22,500,0.0423766989557629
22,500,0.0430106252290446
