t,JAK1_gp130_Obs,Compound_2_Obs
0,0.200672961136577,24.8947255002963
20,NaN,25.0454663595629
25,0.0541902047612657,NaN
40,NaN,23.7898454552556
50,0.0543257114606734,NaN
65,NaN,28.5331341354969
80,0.0505141364664145,NaN
90,NaN,27.0438826370443
100,0.0383057673502565,22.6499171521894
150,0.0360523678638204,27.1753943953794
200,0.0102370133302953,29.1258098044538
250,0.0115927301358435,31.5877566857489
300,0.00876744988669341,25.5276799640217
350,-0.00570622661216451,27.316243522199
450,-0.00238617346192309,22.5834567920201
