t,JAK1_gp130_Obs,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs
0,0.192309419406221,-0.000847374083461331,0.0181743808687876,29.1919604262617
15,0.125605035429634,-0.000276264694059334,NaN,29.1635902075137
20,NaN,NaN,0.113842873387539,NaN
25,NaN,NaN,NaN,26.0371867216987
30,0.10794172831699,NaN,NaN,NaN
35,NaN,0.018696839481944,NaN,NaN
40,NaN,NaN,0.171091543843735,23.7210847379823
50,0.121636502789183,NaN,NaN,NaN
55,NaN,0.0189337355564034,NaN,NaN
60,NaN,NaN,0.0980159814851377,23.0359999147243
65,0.0917961559893583,NaN,NaN,NaN
75,NaN,0.0154693627869917,NaN,26.1538589265647
85,0.100163800124812,NaN,0.109551586814738,NaN
95,NaN,NaN,NaN,33.4251459766714
100,0.0865945197337509,0.0127217164697415,0.087478610206266,37.1392838985356
150,0.0815698741465457,0.0123354510345619,0.0894913937999582,22.1286631474322
200,0.0843621682212573,0.0114766142356663,0.0881414277733603,28.4388726156642
250,0.0589043622535056,0.011770940134412,0.0942424183791586,24.9985219616416
300,NaN,NaN,0.0796724965725901,NaN
