t,input_il6,nSOCS3RNA5_Obs
64,0,-0.000239739936701309
64,0,0.000953507701085287
64,0.0005,-0.00104970948171834
64,0.0005,0.000280964420472695
64,0.005,0.000519212468347266
64,0.005,0.00281119393648985
64,0.05,9.78417577776431e-05
64,0.05,0.000165740341217814
64,0.05,0.00129178669735182
64,0.05,0.00144449018850763
64,0.1,-0.00228295204991369
64,0.1,-0.000105839278850592
64,0.1,0.000393558905608944
64,0.1,0.00330757050898798
64,0.5,-0.00493887173885072
64,0.5,0.00234032947911628
64,1,-0.00297521629143148
64,1,-0.00180083078575275
64,1,-0.00129115742686087
64,1,-0.000937909037769477
64,1,0.000312910201616876
64,1,0.000668067871813888
64,1,0.00192136997289545
64,1,0.00396201356489144
64,2.5,-0.0014275647169586
64,2.5,-0.00130325965677188
64,2.5,-0.00122132338853507
64,2.5,0.000529339543264455
64,2.5,0.00152458801155023
64,2.5,0.00225513424238869
64,2.5,0.00254233030806676
64,2.5,0.00284714859294028
64,5,0.00223242060048384
64,5,0.00237890682706471
64,5,0.00292524953428559
64,5,0.00386843245948997
64,10,0.0030552350596209
64,10,0.00368059630150239
64,10,0.00472700762156817
64,10,0.00557539586555833
64,25,0.00956147006207405
64,25,0.0126795860385408
64,25,0.0127621179188211
64,25,0.0154630604685817
64,25,0.0155493483718519
64,25,0.0163937029131992
64,50,0.0190622368252758
64,50,0.0198116425731653
64,50,0.0205078585253172
64,50,0.0207385642199891
64,50,0.0210235791076846
64,50,0.0217011334712847
64,50,0.0229093050333564
64,50,0.0240321533117274
64,100,0.0226459104437097
64,100,0.0227867425321681
64,100,0.02377282763342
64,100,0.0238334552093398
64,100,0.0250236772024272
64,100,0.0265727324295335
64,200,0.0260151340923882
64,200,0.0283082259555963
64,200,0.0289425719785109
64,200,0.0293747827478339
64,200,0.0294538042268678
64,200,0.0294734876804411
64,200,0.0295588755045249
64,200,0.0303334846848975
64,500,0.0260415183640961
64,500,0.0278417942059346
64,500,0.0286462190487573
64,500,0.0287169598185648
64,500,0.0290593586666526
64,500,0.0292664381735628
64,500,0.0300817820051023
64,500,0.0320222553496157
