t,RAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.24183554666836,1.40706664567836,0.00041867297129804,0.739044088948131,0.0247694186731391
0.3,1.3508485357384,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,0.777409837051478,NaN
0.6,NaN,1.18063241335346,NaN,NaN,NaN
0.65,0.952531396841016,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,1.1039650662884,NaN
1,1.11964919172072,1.28284967018669,NaN,0.888960976237267,NaN
1.5,1.00313275182851,NaN,NaN,1.42688181709751,NaN
2,1.2444889350276,0.702180129017974,0.00566232887567658,0.594688563707476,0.0194396475602298
2.5,0.913139711980354,0.970737611390086,NaN,1.23386364426168,NaN
3,1.16201679649445,NaN,NaN,1.5233766777389,NaN
3.5,1.09009203070821,0.835452954078765,NaN,NaN,NaN
4,1.02378017087635,1.08294866221947,0.00229943076391206,0.868784511952923,0.0105543981001164
4.5,NaN,NaN,NaN,0.786175128013227,NaN
5,0.814600897136026,1.79331702521032,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.920610323461051,NaN
6,0.834217431833026,1.56649676504324,NaN,NaN,NaN
6.5,NaN,NaN,0.00188170360716173,1.26163905822915,0.00564166942383935
7.5,NaN,1.25648149192701,NaN,NaN,NaN
9,NaN,1.2095318749176,0.00130989838953788,NaN,0.00646970551836895
10,NaN,0.777779861751684,0.00182249421523144,NaN,0.00490966303051951
15,NaN,NaN,0.00313260626385198,NaN,0.00631821261781074
20,NaN,NaN,0.00230561471300867,NaN,0.00668600807933383
25,NaN,NaN,0.00210041479846601,NaN,0.00685638343285567
