t,RAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.844183638382596,1.4161920105116,0.000476505664750999,1.19962726827383,0.0223822218920944
0.25,1.40580918919826,NaN,NaN,NaN,NaN
0.45,1.13917305659113,NaN,NaN,NaN,NaN
0.5,NaN,0.968642558253867,NaN,NaN,NaN
0.7,1.35706945864713,NaN,NaN,NaN,NaN
1,1.09899568736395,1.30663774575316,NaN,NaN,NaN
1.5,1.37172175480201,0.914695693072083,NaN,NaN,NaN
2,1.12262505855488,1.23910069780386,NaN,NaN,NaN
2.5,1.01760451511643,NaN,NaN,0.800159152505238,NaN
3,1.02824474409381,1.51826019468722,NaN,NaN,NaN
3.5,NaN,0.862536311173728,NaN,NaN,0.103377601339159
4,0.985530359482192,NaN,0.00104756434458912,NaN,NaN
4.5,NaN,1.08047712541725,NaN,NaN,NaN
5.5,NaN,1.41198329540825,NaN,1.0015952500373,NaN
6.5,NaN,0.978909804157379,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.0371911678498766
7.5,NaN,1.3393038218221,NaN,NaN,NaN
8.5,NaN,NaN,0.000449706156504789,1.0141347977457,NaN
9,NaN,0.901142799955567,NaN,NaN,NaN
10,NaN,NaN,NaN,1.38337564292313,0.0297543719278504
15,NaN,NaN,0.000749608834458391,1.03326781920753,0.0313712729493455
20,NaN,NaN,0.000319827312234258,NaN,0.0375765681631877
