t,RAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.17702007143252,0.918256247144377,0.000492407393331391,1.17900695798819,0.0334068961181192
0.25,1.081318530751,NaN,NaN,NaN,NaN
0.5,NaN,0.82992756696344,NaN,0.955176900860916,NaN
0.55,1.17973559796014,NaN,NaN,NaN,NaN
0.85,1.19410034281286,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,0.861234222757737,NaN
1,0.948643338015913,1.19723088682958,NaN,NaN,NaN
1.5,1.20327579472337,0.934459095769927,NaN,1.27424784803032,NaN
2,0.904653789424732,0.997921393336085,0.00160140205351764,0.819343352019886,0.0581764957528584
2.5,1.03248045333499,NaN,NaN,1.14969647271509,NaN
3,1.03093723829356,0.832482557057571,NaN,NaN,NaN
3.5,1.34159557159049,1.28111775310919,NaN,0.803569490972564,NaN
4,NaN,NaN,NaN,0.829103917463492,NaN
4.5,0.838232187099323,1.52745480209498,0.000362968172593739,NaN,0.0160375563720673
5,NaN,NaN,NaN,0.661567574913563,NaN
5.5,NaN,0.947276957876107,NaN,NaN,NaN
6.5,NaN,NaN,0.000219814386141621,1.03424560515249,0.0097544817074682
7,NaN,0.956094179396997,NaN,NaN,NaN
8,NaN,NaN,NaN,1.05444062095614,NaN
8.5,NaN,1.15756519753023,NaN,NaN,NaN
9.5,NaN,NaN,0.00036126347435906,NaN,0.0144000103119637
10,NaN,NaN,0.000246446750208985,NaN,0.0205140127257607
15,NaN,NaN,0.000283862073230529,NaN,0.0118909094453632
20,NaN,NaN,0.000243813072026928,NaN,0.0108235065304018
25,NaN,NaN,0.000291854587605892,NaN,0.0102889730350494
