t,Epo_Obs,Epo_EpoR_i_Obs,dEpo_e_Obs
0,1190.82087095726,23.8522550857589,-41.1276650629807
25,750.786215024357,169.773931804821,NaN
30,NaN,NaN,138.013743918438
50,NaN,305.958363660522,NaN
55,612.052054568201,NaN,NaN
60,NaN,NaN,252.513035905456
75,NaN,298.42409493514,NaN
80,517.838684332515,NaN,NaN
95,NaN,NaN,430.733414252188
100,300.793919434762,345.036915723826,NaN
150,131.044706711807,268.126877658617,556.815753834295
200,106.180304552462,264.009051851491,850.609973316678
250,56.3584979078938,103.88955073912,937.963545554735
300,67.7414159131129,50.2094365379734,NaN
350,117.934132701759,48.9246922462007,1065.89357025109
400,-15.2335377218362,21.9619746040287,1036.56078899712
450,NaN,-17.874994980906,NaN
500,31.2008026902225,NaN,1004.2784538153
600,NaN,NaN,1209.07916092286
