t,IRiP_Obs,XX_Obs,XXp_Obs
0,1.12334320799512e-05,9.47041664574765,0.000435573978777808
4,NaN,NaN,0.00612159474532376
4.5,NaN,10.0782507067747,NaN
5,0.000196158050332991,NaN,NaN
8,NaN,NaN,0.00541902289404954
8.5,NaN,8.86024863247832,NaN
10,0.000197049242112997,NaN,0.00588560229393637
15,0.00014606929558415,10.3853140562981,0.00525210944304726
20,0.000150058405603015,9.36576764426317,0.00552392831039341
25,NaN,9.47374323654833,NaN
30,0.000161676092066377,10.0836391453092,0.00379487721363878
35,0.000131937350229875,NaN,0.00366962854062287
40,NaN,9.01476125841962,0.00413660629152347
45,0.000166097189186702,NaN,NaN
50,NaN,10.1373565434468,0.00407826645441743
60,0.000148714091240468,10.6774722344055,0.00492994876960019
70,0.000147280342770913,8.78649075071616,0.00451744636333889
