t,IR2in_Obs,BoundUnspec_Obs
0,-0.12347152608072,-0.262587248298238
8.5,0.123368269022951,-0.120464428199314
15,0.324595890509861,-0.0854199994724451
25,0.09963516596135,0.0894290413872195
35,0.103828121916484,0.035891718768727
45,-0.178266774965404,-0.0565777760550433
55,0.0810400192652776,NaN
60,NaN,-0.0261963594579167
65,-0.0355735940681202,NaN
75,NaN,-0.0287609680700136
80,-0.196779634251581,NaN
90,NaN,0.00262645338951763
95,0.0429434295256278,NaN
100,-0.0868520374036114,-0.0751812368020721
150,0.092771984423709,-0.296116749955654
200,0.198021625003516,-0.343985886877463
