t,IR2in_Obs,Uptake2_Obs
0,2.89279446970792,4.95308724562551
8.5,219.505802154308,NaN
9.5,NaN,486.163262767131
15,168.52395300273,NaN
20,NaN,375.957031671052
25,292.396902892616,NaN
30,NaN,476.297121888278
35,224.071888616062,NaN
40,NaN,447.887849346193
45,264.470356301907,NaN
50,NaN,505.12953708587
55,290.160777849681,NaN
65,NaN,728.283197418847
70,321.051835540394,NaN
80,NaN,633.891216178336
85,238.243551371889,NaN
100,240.710301814959,817.534611648493
150,241.853171381542,750.303849236711
200,290.658277143163,1298.1474040726
