t,IR2in_Obs,BoundUnspec_Obs
0,-0.0476046656938768,-2.06685259010145
7,NaN,6.59415533963246
10,0.640091677758149,NaN
15,NaN,5.80151715605776
20,0.94893432456059,6.02384103612883
30,1.15724266796463,6.50822413351276
40,1.33111678133866,6.11635190813769
50,NaN,5.43270014919439
55,0.992735275948634,NaN
60,NaN,6.42028639088992
70,0.989736589289281,5.17004281485491
80,NaN,5.56180925507049
85,0.94742889586076,NaN
95,NaN,6.09216391118769
100,0.852972890172629,3.54952151560315
150,0.730531504462246,3.67106053947299
200,0.667838297618189,2.85254362381547
