t,epo_level,pEpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
8,2.5e-09,0.118920891847815,0.0182579998291047,0.0197277888242542
8,7.905e-09,0.136494113039281,0.0181091528933555,0.0216427266038715
8,7.905e-09,0.175487990699624,0.0240898789859642,0.0241281713283138
8,7.905e-09,0.255979419407073,0.00976307562044567,0.0238226054684301
8,1.25e-08,0.332161377749118,0.0222777916308888,0.0209255887693278
8,1.75e-08,0.308018900640654,0.0190168885494286,0.021594959189064
8,2.5e-08,0.378960799010511,0.0265184131393577,0.0204116833040891
8,2.5e-08,0.393617121368267,0.0259094496970489,0.0177232007782536
8,2.5e-08,0.432280893951777,0.0226730100720926,0.0188469663376392
8,3.95e-08,0.42342039930918,0.0146173276005915,0.0263515921578895
8,3.95e-08,0.488612458337623,0.0130688388756215,0.0167786892312369
8,3.95e-08,0.611041607797696,0.0172167434905217,0.0197893560085588
8,7.9e-08,0.505358305752253,0.0339602002497961,0.0249534084343924
8,7.9e-08,0.577324725814204,0.0318883336130883,0.0230806517656888
8,7.9e-08,0.632399311552806,0.0178078520905628,0.019978620687093
8,1.25e-07,0.651202673710066,0.0257468554079213,0.0224019935997327
8,1.7675e-07,0.639410931792175,0.0394839153914068,0.0158737252944563
8,2.5e-07,0.656960721495881,0.0433430330785219,0.0258560082632874
8,2.5e-07,0.667296930110576,0.0468167242392285,0.0177998916552299
8,2.5e-07,0.791140659276077,0.0490945269054636,0.0192160369464518
8,7.905e-07,0.9641997438242,0.0606794396006918,0.0222769083175708
8,2.5e-06,1.30763268820116,0.0780690610747512,0.0289581118454165
