t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.510678772230353,-0.0131056761092049,0.004309267620069,0.214699264163648,0.000716994348395089,0.135741871111533,0.00076094842416502,0.000984923554331384,0.000835978794524838
15,0.00884625730838196,NaN,0.429299657544788,NaN,NaN,0.304392381205053,NaN,NaN,NaN
20,NaN,NaN,NaN,2.06566744604367,0.00152519253311473,NaN,NaN,0.00200086662199745,NaN
25,NaN,0.0462343949006806,NaN,NaN,NaN,NaN,0.00197056712555901,NaN,0.00190231655464773
30,0.0200872705936554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.382996603715064,1.8142750183521,NaN,0.330215352689685,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00155412371696918,NaN
45,0.0385185420249517,0.0875771226756432,NaN,NaN,0.00388855837639873,NaN,NaN,NaN,NaN
50,NaN,NaN,0.403026455434991,NaN,NaN,NaN,0.00128906006812133,NaN,0.00138135151146959
55,NaN,NaN,NaN,1.57937481074618,NaN,0.596552837552891,NaN,NaN,NaN
65,0.0381989969864699,NaN,NaN,NaN,0.00490984488378346,NaN,NaN,0.00136108863344326,NaN
70,NaN,0.0938750755901942,0.304764574202388,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.866716769236735,0.00102326155310469,NaN,0.00128664546308807
80,0.0606420829548194,NaN,NaN,1.49827234909173,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,0.31335242273536,NaN,NaN,NaN,NaN,0.00121295371267969,NaN
95,NaN,0.112997220946336,NaN,NaN,0.00569419999909699,1.01789464092842,NaN,NaN,NaN
100,0.0769818145294909,NaN,0.308494444402414,1.52418265134461,0.00554648981405607,0.960244604259719,0.00118172034354036,0.00116636972007215,0.00101960114366403
150,0.0830673091443766,0.14862581004012,0.274195495533013,1.15259895082498,0.00591029055418219,1.59754025350257,0.00109417587424866,0.000999035189596565,0.000944444474973802
200,0.104578042390361,0.117450803408353,0.256690721085974,1.01184297170819,0.00610384399771006,1.85412686284747,0.00122994881471808,0.0011557427479435,0.00100839134307623
250,0.10475367575747,0.160886918596913,0.271881698442917,0.862886514347572,0.00557647216691848,2.14397152501443,0.000981975588554632,0.000920031319465667,NaN
300,0.114785642394905,0.156877822216439,0.223711784101257,0.819779767135609,0.0055045113119533,2.28596077090149,0.00101641297740424,NaN,0.00107311090053212
350,NaN,0.17389834897946,NaN,0.955427248834389,0.00493757058818478,2.28789075598105,0.00111033224854679,0.00101029172982831,0.000949474879898616
450,NaN,NaN,NaN,NaN,0.00478792150895834,NaN,NaN,NaN,NaN
