t,epo_level,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
7,0,0.450382457987421,-0.000901546904078165,0.0360440123889942,0.128582545574489,0.000690605545230385,0.00104025535438579,0.00104259897460892
7,0,0.462926266637052,0.00213836315035517,2.6992363091776e-05,0.132626038689703,0.000559885964921298,0.000991707971468454,0.000792085844877473
7,4.2857e-08,0.500214402175852,0.00472442700828715,0.0404046047343279,0.0154616445456223,0.000566828521278311,0.000728795960144645,0.000674371906590229
7,4.2857e-08,0.538548731302379,0.00837837635923644,-0.0215845391303801,0.0917326075959603,0.000596438774975513,0.000794750277341046,0.000979432875139958
7,1.4286e-07,0.416748264672798,0.0107511749399032,0.0694999234960192,0.0900497558034537,0.00053429521060119,0.000878928401302583,0.00109735528906821
7,1.4286e-07,0.490269149720567,0.00310281131094666,0.0160194853505193,0.0836531741940317,0.000579474300173028,0.000752049088889021,0.000806044251618163
7,4.2857e-07,0.369444891909989,0.0262143011817557,0.115182251814029,0.132594255861626,0.000448418897358469,0.000963202823538635,0.000891200390134911
7,4.2857e-07,0.402232394421542,0.0330072036356594,0.0822434202555059,0.150463769605951,0.000515959365147708,0.000972280822580078,0.00092398925627631
7,1.4286e-06,0.179205324275735,0.0527023207456648,0.235024742834333,0.391211108373276,0.000544774940586928,0.000953684846841403,0.000803603250226658
7,1.4286e-06,0.243907576511604,0.0593922498815858,0.250611446525106,0.475899505749445,0.000562312014692581,0.00071689236031416,0.000840010031867801
7,4.2857e-06,0.00884390433833321,0.0606929231667715,0.441068146296492,1.05234215565017,0.000722677807794511,0.00101600087875657,0.00107727967291813
7,4.2857e-06,0.136813663907254,0.0566967536837337,0.439282014985565,1.18732021008324,0.000582343196146925,0.00107568216526535,0.000742290057531942
7,1.4286e-05,-0.00237747017074692,0.028754660188117,0.485379729649259,1.69060734587909,0.000544471282531075,0.00147168151183457,0.00103617806350818
7,1.4286e-05,0.0271798033871266,0.0216600037007826,0.445180377373382,1.52549430158543,0.000613528242692669,0.00127379415924145,0.00117573387461568
7,4.2857e-05,0.0360903318662398,0.0249801211992543,0.42517775501211,1.99077684968153,0.000609483865487531,0.00149772429683765,0.00154069840428397
7,4.2857e-05,0.057845366093108,0.0349026461624917,0.477356584681975,1.86022919621134,0.00049637132006245,0.00153594946988656,0.00131930043555918
