t,CIS_Obs,SOCS3nRNA4_Obs
0,0.30117369180885,0.000939475159589808
20,0.198239196031183,0.00230332761228999
45,0.426630155143349,0.00174943509835744
65,0.682351238887738,NaN
70,NaN,0.00171506327189543
90,0.854687712584047,NaN
95,NaN,0.00137547947480216
100,1.28748167011241,0.00127416334278299
150,1.74588971415651,0.00121962775560283
200,2.14373630521584,0.00107188491976448
250,2.49881182126014,0.00113843062707973
300,2.65339965667577,0.00108897969769066
350,2.46146945852313,0.00121490505836505
400,2.44589104692794,NaN
