t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA3_Obs,STAT5_Obs
0,3.41175630409179,0.0212409681613922,-0.00771901029811997,28.1217763789346,-0.000557363694303645,-0.798809761664696,-0.767688998285864,1.17985684798551,-0.0119965957541588,0.0103777783762359,43.8815601059166
5,NaN,NaN,NaN,30.5060488456673,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,2.32497265236012,NaN,0.505390827482009,30.1451228844247,NaN,22.3515539933083,NaN,NaN,NaN,NaN,NaN
15,NaN,0.113839779984639,NaN,30.9218970006845,NaN,NaN,NaN,NaN,-0.153127819640084,0.0163932061220594,11.6624361926768
20,3.49394296059532,NaN,0.353307204516279,31.1299746354684,NaN,NaN,5.75607442647233,20.369902120271,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.00132416966099271,10.2343218190922,NaN,NaN,NaN,NaN,NaN
30,3.61880085936918,0.0870993492913774,NaN,32.5659227707782,NaN,NaN,NaN,NaN,NaN,NaN,11.0673530668661
35,NaN,NaN,0.221866978197186,30.9121359967212,NaN,7.08397851565017,NaN,18.5189601899286,0.075957219157146,0.0392696957822143,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,6.44720571641298,NaN,NaN,NaN,NaN
45,3.22807510698001,NaN,0.224023314673487,30.7856584757832,NaN,NaN,NaN,NaN,NaN,NaN,23.5648955410689
50,NaN,0.0935373802615886,NaN,NaN,0.00242100860879152,5.22212466630801,NaN,NaN,0.0715729765431644,0.181524020823713,NaN
55,4.30053262362592,NaN,NaN,NaN,NaN,NaN,NaN,11.2789295857577,NaN,NaN,NaN
60,NaN,NaN,0.254259356789308,29.1667337195782,NaN,7.8199668620812,5.13082271018859,NaN,NaN,NaN,19.5664442008238
65,NaN,0.125074910079241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,2.55519934554794,NaN,NaN,34.7164199913633,NaN,NaN,NaN,NaN,-0.0747484456043469,0.295722689062157,NaN
75,NaN,NaN,0.220807353749977,NaN,0.00296263525120097,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,6.8389947786784,4.82203315118698,12.8299291304979,NaN,NaN,19.5880338345258
85,NaN,0.0947259012454046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,2.67430627938462,NaN,0.2140309505605,35.2705350041713,NaN,NaN,NaN,NaN,0.0649551349704045,0.0462969570956322,NaN
95,NaN,NaN,NaN,NaN,NaN,5.89787474108046,NaN,NaN,NaN,NaN,NaN
100,3.85007660956048,0.079939932632169,0.12522360720393,NaN,0.00329606047225587,4.79404813572832,4.50691779882239,10.8112039090915,-0.16807975306587,-0.15161370212242,22.5589656336811
150,3.33176034699343,0.0887840316856209,0.0728391935247247,NaN,0.00307277707884681,3.91324546063035,2.459856674837,6.4586226225776,-0.151155522401325,0.117764605685394,28.5711748237827
200,2.97498273324515,0.054530836650262,NaN,NaN,0.00397072756072977,2.70188142282352,1.7838843513426,2.12766220998105,0.0152582090086622,-0.119670515185464,35.461119365428
250,NaN,0.0735501836538711,NaN,NaN,0.00417020184472334,3.40219257255183,2.86310774936192,4.67629703412925,0.144988132347524,0.0894214293192846,25.7343409627642
300,NaN,0.0961062575667705,NaN,NaN,0.00335878743586233,NaN,NaN,4.15207839579796,0.00741609899258359,0.151924154446159,31.8646166643828
350,NaN,NaN,NaN,NaN,0.00377971709483069,NaN,0.942366601771055,3.95060258139648,0.160022760641146,-0.117672516822821,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,0.757301611865314,NaN,NaN,NaN,NaN
