t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.51541651536944,0.000595801818305213,-0.0171695583197365,-8.38945708118928e-06,0.106146467607724,0.000120698522484149,0.000123968457666226,0.000146516850469572,0.117366286312699,0.000911534097152902,0.000782838354430475,0.000943097611168362
15,0.0295824868929305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.466676198087776,NaN,2.44256950240734,0.00190346282963165,NaN,NaN,0.336903367620725,NaN,NaN,NaN
25,NaN,0.0400818832769979,NaN,0.000193237964972082,NaN,NaN,NaN,0.000857817816984024,NaN,0.00219484733551229,0.0018226259849902,0.00207436346529832
30,NaN,NaN,NaN,NaN,NaN,NaN,0.00191117932042617,NaN,NaN,NaN,NaN,NaN
35,0.00375064374875709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.511306590364717,NaN,1.55159365101757,NaN,NaN,NaN,-0.0912381417544431,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,0.00165751026610916,NaN,NaN,NaN,NaN,NaN,0.00151133423153458
50,NaN,0.112897700033814,NaN,NaN,NaN,NaN,NaN,0.00396267495688708,NaN,0.00149429875015107,0.00124261184734471,NaN
55,0.0646661916946698,NaN,NaN,0.000107416902434184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.362455026694862,NaN,NaN,NaN,0.00153893067940967,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,1.65246672321909,0.00151382942040798,NaN,NaN,0.428675663454581,NaN,NaN,NaN
75,0.0599660640730812,0.122712552940329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010245464274052,0.00127408249417082,0.00155938146538498
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00521493318247754,NaN,NaN,NaN,NaN
85,NaN,NaN,0.330712146419433,0.000251498619631795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,1.60660559140237,0.00119411705685748,NaN,NaN,1.02783159409303,NaN,NaN,NaN
95,0.0604211035469286,NaN,NaN,NaN,NaN,NaN,0.00124964606622999,NaN,NaN,NaN,NaN,NaN
100,0.0689342198402339,0.132649411023163,0.301874492806227,0.000138925041252582,1.25894924386294,0.00117435514658925,NaN,0.00523564244612783,1.0989343493607,0.000948163088085296,0.00124791689604235,0.00142139443280284
150,0.068546528491417,0.156672306363604,0.375823494814679,0.000303482283072121,1.05163853245997,0.001012992128577,0.000798823269742408,0.00681791095206348,1.85599258061287,0.00112969838074246,0.00111747646491485,0.00120397448275524
200,0.0781795668412869,0.138061843752523,0.238792858782582,0.000323802890868588,1.10770297701056,0.00072156275875176,0.00095603989838661,0.00512125153028048,2.03708962195902,0.00108223332655239,0.00108688244786861,0.000852999530800386
250,0.106003857153088,0.194186125218905,0.308055268901338,0.00032858921042744,0.988485700545022,0.000862505666517053,NaN,0.00530754138828813,2.23743743818821,0.000859688059185676,0.000951999050682797,NaN
300,0.124721143105324,0.149837690270017,0.198299457095857,0.000381059784565665,NaN,0.000958731836245988,0.000547933712688184,0.0047898883739301,2.47868434688613,0.000869692438874734,0.000941219218813329,0.0011516751751132
350,NaN,0.122672183045102,0.31139520247438,NaN,1.06766049575643,0.0009647651641004,0.000818008337183033,0.00508725706335559,NaN,NaN,0.00116394550412529,0.000685024168266969
400,NaN,NaN,NaN,NaN,0.895917042124818,NaN,NaN,NaN,1.89099957911201,0.00123050912339828,NaN,NaN
450,NaN,0.168421681238422,NaN,NaN,NaN,NaN,0.000641482691410066,0.00460042722447983,NaN,NaN,NaN,NaN
