t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,3.04608828448977,0.00916897772284439,0.00318083956584304,0.00956367082295097,0.000369345013924778,0.195028280343966,0.0203040005264747,0.0190041215986005,0.0185175350014803,0.0291221115341371
9.5,3.25445577328852,NaN,0.170909731005239,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.0904372013000855,NaN,NaN,NaN,0.142941006946963,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,0.0824429056769506,0.00032054098843771,NaN,NaN,NaN,NaN,NaN
20,3.17241018991738,0.0633754611917805,0.0724914097708259,NaN,NaN,NaN,0.0171918406255711,0.0171442792459239,0.0182813293638214,0.0190613530930954
25,NaN,NaN,NaN,0.150277224292222,NaN,0.164316747808732,NaN,NaN,NaN,NaN
30,3.62514467636791,NaN,0.0480938720056564,NaN,0.000731444231130628,NaN,NaN,NaN,NaN,NaN
35,NaN,0.058881432603358,NaN,NaN,NaN,NaN,0.0181897624667458,NaN,NaN,NaN
40,3.44241079301554,NaN,0.0350408854699792,0.154071989618543,NaN,0.204061953605431,NaN,0.0228220525888894,0.0201541516018181,0.0186621783908986
45,NaN,0.0461822345716895,NaN,NaN,0.0021643860897584,NaN,NaN,NaN,NaN,NaN
55,3.96059317234412,NaN,0.0219617545674041,0.120797914931121,NaN,0.375366905416589,0.0210146252197357,NaN,NaN,NaN
60,NaN,0.0502222927379623,NaN,NaN,0.00242370788985336,NaN,NaN,NaN,NaN,0.020387674164056
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0247273201513508,0.0227486354879214,NaN
70,4.44166194596001,NaN,0.021903290393517,0.0755399205425743,NaN,0.453660948143076,NaN,NaN,NaN,NaN
75,NaN,0.0482915632438845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00243841012719715,NaN,0.0157543622577279,NaN,NaN,0.0215571362406852
85,3.26213576990406,NaN,0.0228349081396834,NaN,NaN,0.598750835260109,NaN,NaN,NaN,NaN
90,NaN,0.0484477449769388,NaN,0.0589756290965847,NaN,NaN,NaN,0.0203593301601223,0.0179076056752146,NaN
100,2.76726050714147,0.0418421518320309,0.0159978886915529,0.046633387203618,0.00195061732131824,0.483720567554984,0.0220011764362097,0.0182002682165149,0.0195311046927641,0.0227569823178618
150,3.79476898580884,0.0192451225870824,0.0137504652793032,0.0373997274387056,0.000922517554627485,0.543100473579723,0.0149226339904931,0.0235868602264464,0.0155070441230436,0.0203132238173197
200,NaN,0.0500836795672721,NaN,0.0267829805954224,0.00128542231706949,0.454405468699314,0.015769859900128,0.0215197482252394,0.0218877950644728,0.0184169433833688
250,NaN,NaN,NaN,0.0199809229109789,0.00096102532602008,0.500872137067124,0.0172644695610266,0.0213880627482277,0.0186391023558207,0.0179810627358948
300,NaN,NaN,NaN,NaN,NaN,0.466812951094693,NaN,0.0227100428994211,NaN,NaN
