t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,3.57335943519769,-0.00594077682530654,-0.00839467581443439,30.9226480802701,0.000168901822960583,0.0119759208130172,-0.126436983324879,0.0908337178133697,-0.000696267532059946,0.000459218944737718,0.000322110395689978,0.0025457706728985,0.45424417676084,0.023452290572259,0.0242256605996342,0.0170051466434228,0.0211582067766042
6,NaN,NaN,NaN,31.1150080410399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,30.6800849202473,NaN,NaN,3.42772124455406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.090681574143338,NaN,33.8838971215729,NaN,NaN,NaN,16.1695802776208,NaN,0.0578439724674021,NaN,0.032506671806334,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,0.249296853264569,NaN,NaN,8.86742184553483,NaN,NaN,0.0669669208600366,NaN,0.0476222324094177,NaN,NaN,0.149572569458846,0.0795750795660971,0.0534225507591562,0.0412455082290353
30,NaN,NaN,NaN,29.9195495576559,NaN,NaN,5.73971870534412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,3.05940686646101,NaN,NaN,33.5976341037697,NaN,NaN,NaN,NaN,NaN,0.0626576856878928,NaN,NaN,2.71308992075505,NaN,NaN,NaN,NaN
40,NaN,0.0822172204169957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,0.108314417916836,31.2619207789812,NaN,NaN,NaN,10.91966266311,NaN,NaN,NaN,0.19840464293948,NaN,NaN,NaN,NaN,0.109214137158973
50,NaN,NaN,NaN,NaN,0.00187162952170359,NaN,3.84621621893764,NaN,NaN,NaN,0.0532994173850463,NaN,NaN,0.0949242512540151,0.118279278586078,0.127976809567807,NaN
55,NaN,NaN,NaN,NaN,NaN,2.03698478503554,NaN,NaN,0.0312696962778766,0.0394309979433076,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,35.0221762266181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0669683007553768,NaN,NaN,NaN,NaN,NaN,5.16460443105832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,3.65777577337722,NaN,NaN,31.4138976535405,NaN,NaN,1.86155332118091,NaN,NaN,NaN,NaN,0.179766154118967,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,0.0754698368836953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242229955950534,NaN,27.921537909044,NaN,NaN,NaN,0.0867559047452466
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184160280202302,NaN,NaN,NaN,0.0431384751393501,0.0594002527023532,0.0641086138439107,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00856460436765746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.0754776831138488,NaN,30.5068954680251,NaN,0.512931045470254,0.742100612653076,2.8107048090114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0986520973351429,NaN,NaN,NaN,NaN,NaN
100,3.75121701511266,0.0733760104077593,0.0903869559053485,NaN,0.00203941986040016,1.00712295287748,1.00384950935497,1.6835929175516,0.0074275414700234,0.00814390081966745,0.0107194151129925,NaN,33.2858564560855,0.0318863430982518,0.0343899047795717,0.0421734554074125,0.0488669115285756
150,3.34445287953658,0.0840183846865961,0.111534067896498,NaN,0.00230318415961598,1.49784996220812,0.93008056448327,2.17209594602452,0.0111536630029068,0.00660198688930659,0.00646325908657192,0.0225047891081812,30.5950367137771,0.0259619146260866,0.0243262019983729,0.0232327789657764,0.019290252426596
200,3.1632302221262,0.0791478059713242,0.0907835359767532,NaN,0.00264719298226795,1.38405813928477,0.954998871230613,1.98695466015418,0.00810035332657177,0.00952754783393167,0.0106615598705499,0.0366199152936734,21.5312248926544,0.0280100337456339,0.032107715382469,0.0357594396913567,0.034400803923921
250,NaN,0.0752973478819771,NaN,NaN,NaN,1.55140048091201,NaN,1.93877572356134,0.00776473115666671,NaN,0.00828112456061396,0.0491864002685963,20.5084132547084,0.0275181332834754,0.0229274652781584,0.0265794275936881,0.0338733964341267
300,3.7571352994731,0.0706824855261915,NaN,NaN,0.00290492202606046,NaN,NaN,NaN,NaN,NaN,0.00963142758780793,NaN,19.5849718397943,0.0234449414831423,NaN,0.0290569267660494,NaN
400,NaN,NaN,NaN,NaN,0.00305165692787734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7627801540735,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2315974732021,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,0.00295773739437743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6844770661006,NaN,NaN,NaN,NaN
