t,epo_level,PTPAct_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs
22,6.6667e-07,5.84953336838801e-05,0.000108137940649183,0.000125771899002044
22,6.6667e-07,7.90554408261611e-05,0.000139548947488023,0.00013380862965749
22,1.3333e-06,0.000118557780324612,0.000191316642341684,0.000169934639816703
22,1.3333e-06,0.000123171959155855,0.000118665542628779,0.000166678819423685
22,2.6667e-06,0.000146284151982953,0.000157460247886766,0.000170391485475961
22,2.6667e-06,0.000149829968215546,0.000169617182225268,0.000170767573501814
22,5.3333e-06,0.000144892604037602,0.000172913339256425,0.000254540416300547
22,5.3333e-06,0.00018066291743927,0.000195544845141804,0.000165923049001207
22,1.0667e-05,0.000169953498409443,0.000177829116512128,0.000214452353955032
22,1.0667e-05,0.000214702972535142,0.000144959677658524,0.000142670178120539
22,2.1333e-05,0.000193212152736123,0.000203982876294556,0.000231084248792609
22,2.1333e-05,0.000219773575199485,0.000186773752345084,0.000200258675357898
22,4.2667e-05,0.000204300044340724,0.000238240017577168,0.000214412818447585
22,4.2667e-05,0.000216377325315938,0.000206887542883251,0.000227584029719957
