t,EpoRJAK2_Obs,EpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs
0,3.285471740415,0.10865524869192,0.319993483237027,-0.00040353748365125
5,1.58901270431418,NaN,NaN,NaN
6.5,NaN,NaN,NaN,-0.0190152895790736
8.5,NaN,NaN,16.4336807120704,NaN
10,1.87035645549704,0.504115066475623,NaN,NaN
15,2.65820614965748,NaN,23.1143614724094,-0.0061581017767939
20,2.06107463453215,NaN,NaN,0.0515734431316057
25,NaN,0.471367909408836,21.368964057459,0.136244319888514
30,3.16644786648649,NaN,NaN,NaN
35,3.34114758758337,0.490068174600075,18.6492297229846,0.238670164521719
45,3.2105261070072,NaN,NaN,0.294866801025822
50,NaN,0.362118078328965,11.6660406970581,NaN
55,2.98898376711437,NaN,NaN,0.294693145827221
60,NaN,NaN,7.77536806474224,NaN
65,NaN,0.258862033162222,NaN,NaN
70,2.92866296812722,NaN,NaN,0.242009300315394
75,NaN,NaN,5.63198017245387,NaN
80,NaN,0.297736180148956,NaN,0.176374910460968
85,2.87795838824292,NaN,NaN,NaN
90,NaN,NaN,3.34664994516612,NaN
100,NaN,0.277915442454991,4.53416135145404,0.0940432123060842
150,NaN,0.450505959185625,3.69556639428904,NaN
200,NaN,0.436608679803974,NaN,NaN
