t,PTPAct_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs
0,4.3430558846863e-05,0.000129256116015768,5.92519613188536e-05
10,9.85469441152675e-05,NaN,NaN
15,NaN,0.000194822389760245,0.000233715657417922
25,0.000256010115415576,NaN,0.000201395701908572
30,NaN,0.000196292081325146,NaN
40,0.0003245392283344,NaN,0.000186870657086902
45,NaN,0.000167832852566371,NaN
55,0.000454622561431472,NaN,NaN
60,NaN,0.000186900066875193,0.0001717248079526
70,0.000526656041363353,NaN,NaN
75,NaN,NaN,0.000119143961249873
80,NaN,0.000165795384303445,NaN
90,0.000551359114137256,NaN,NaN
100,0.000591505318526076,0.00014086098949619,0.000129643744404659
150,0.000872259172700385,0.000126826838815849,0.000174026902135428
200,0.00101709737976168,0.000137459123915852,0.000124402701121513
