t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,3.40264691828845,0.00178213609982124,0.0234006001910414,-1.16752706977355,0.00926509876893898,0.44256500160206,0.00950642482380057,0.0200275750268276,0.0267583786830404,0.0097492679966631
7.5,NaN,NaN,0.720752636054938,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,2.53986347072341,NaN,NaN,7.12163414772545,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.117228954371749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.00193254640044183,-2.17431157835546,0.0330929231378829,NaN,0.0304244858014699,NaN
15,4.43095103474591,NaN,0.310726188480985,14.6526848416764,NaN,NaN,NaN,0.0391153249188622,NaN,0.0296931203397218
20,NaN,0.0983292964771765,NaN,NaN,0.0448332992802592,NaN,0.111971246680275,NaN,0.0317414036889166,NaN
25,4.18383480220678,NaN,0.208732426332003,15.4535150861434,NaN,0.659658968685576,NaN,0.0836882928371139,NaN,0.0240381186794828
30,NaN,0.0880918661717634,NaN,NaN,NaN,NaN,0.144741272634763,NaN,NaN,NaN
35,4.40425902293825,NaN,0.124740791077022,14.8903290310878,0.137891807956698,6.82941201738971,NaN,NaN,0.100681745961613,NaN
40,NaN,0.0860849332049096,NaN,NaN,NaN,NaN,NaN,0.138723639767642,NaN,0.104069784355868
45,3.36769969464318,NaN,0.123459411185023,9.63667133105429,0.201475754313171,NaN,0.124462968529125,NaN,0.124475884415801,NaN
50,NaN,NaN,NaN,NaN,NaN,15.9254378994966,NaN,NaN,NaN,NaN
55,2.92962707906269,0.0738563181459383,0.0937467427450727,NaN,NaN,NaN,NaN,0.105793179578875,NaN,0.1129639454438
60,NaN,NaN,NaN,6.85247903261875,0.194444430328107,NaN,0.0599919301924417,NaN,0.104940299947277,NaN
65,4.00117849117824,NaN,0.102906038977218,NaN,NaN,24.3075611108262,NaN,NaN,NaN,NaN
70,NaN,0.0790312549539651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110774277591174
75,NaN,NaN,NaN,1.88158522026388,NaN,NaN,0.0472980234825591,0.0535856250800178,0.0921836051787575,NaN
80,3.21567074652607,NaN,0.0582222199040967,NaN,0.138797571365412,26.8146587757629,NaN,NaN,NaN,NaN
85,NaN,0.0542346809304549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,3.60153481833516,NaN,NaN,NaN,NaN,NaN,0.0615813728433853
95,NaN,NaN,0.101391733393715,NaN,NaN,30.1345739484177,0.0432106161222605,0.0300054289076581,NaN,NaN
100,3.2923488506706,0.0803072098573182,0.0981858444957096,0.731458040480598,0.0885211251168417,32.4134616299242,0.00915174765892085,0.0185343562275851,0.0457535554230464,0.0510864937428771
150,3.57591925992878,0.0895297102670953,0.129087397546602,2.91059489557957,0.0177216405427088,28.4261539439702,0.0152295804734947,0.0176298919214333,0.0381088258694407,0.0362833156763326
200,NaN,NaN,NaN,NaN,NaN,27.8790027475476,NaN,0.0260072214692801,NaN,0.025794010525367
250,NaN,NaN,NaN,NaN,NaN,23.5832904831342,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,NaN,21.5036490190701,NaN,NaN,NaN,NaN
