t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.0923737086532501,-0.00141022698803286,0.00148766506577761,-0.00696008286618639,0.000612235570354572,0.00109359668472235,0.000825534031562197
9,NaN,NaN,NaN,NaN,NaN,NaN,0.00110579503193564
10,0.00547441313622772,NaN,NaN,NaN,NaN,0.00096824250728219,NaN
15,NaN,0.00881899252057106,0.0790542412561781,0.123070287542757,0.000526101133053378,NaN,NaN
20,0.00392626150471319,NaN,NaN,NaN,NaN,NaN,0.00105374916805108
25,NaN,NaN,0.0622014356006945,NaN,NaN,0.000922237637317667,NaN
30,0.0103862395761057,NaN,NaN,0.0847195345902055,0.000714966386579831,NaN,0.000926693948976678
35,NaN,0.0318951387481908,NaN,NaN,NaN,0.000854638640529012,NaN
40,NaN,NaN,0.0521422256013654,NaN,NaN,NaN,0.000950223080111944
45,0.0202642750830627,NaN,NaN,0.0908738702339236,0.000758008449037308,NaN,NaN
50,NaN,0.0321387581576005,NaN,NaN,NaN,0.001087067358956,NaN
55,NaN,NaN,0.0523592629108301,NaN,NaN,NaN,0.000869039402211024
60,0.0127830874497481,NaN,NaN,NaN,0.000914726412048384,NaN,NaN
65,NaN,NaN,NaN,0.0704046979882478,NaN,0.000807867910399328,NaN
70,NaN,0.0342179620040036,0.0426219344823169,NaN,NaN,NaN,0.000709556053466634
75,0.0214625335725374,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.000691035138660082,0.000729274849977873,NaN
85,NaN,NaN,NaN,0.0647254506565873,NaN,NaN,NaN
90,0.0160136634229939,0.0337864528665573,0.0316323547606767,NaN,NaN,NaN,0.00089480742358459
100,0.023335126405531,0.0276806216312187,0.0415232685365668,0.0476842151270989,0.000897822753375832,0.000685212375799547,0.000682768422162666
150,0.0275358909521305,0.0389001994377563,0.0380935187441417,0.0486095550466823,0.00104232909520499,0.00114872671628779,NaN
200,0.0360427824945124,0.0401006545787288,0.0268912010689733,0.0387149039652868,0.00102938477048525,NaN,NaN
250,NaN,0.0397994332093021,0.0249519847740161,0.061814420434507,0.000687636803159173,NaN,NaN
300,NaN,NaN,NaN,NaN,0.000731471181567505,NaN,NaN
