t,epo_level,PTPAct_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs
62,2.5e-09,0.00203123041223069,0.0263507080723833,0.0292586254506917
62,2.5e-09,0.00180873273354727,0.0264760228029703,0.0244844577904853
62,2.5e-09,0.00195875583506638,0.0273403377510126,0.0294465187026204
62,2.5e-08,0.00651832703215285,0.0362976753443635,0.0405158173618763
62,2.5e-08,0.0066617435850161,0.0342822994685601,0.0403896588014505
62,2.5e-08,0.00605832531435095,0.03291081414534,0.0407459934532838
62,1.25e-07,0.00256359438604856,0.0343001629701679,0.0324871008652765
62,1.25e-07,0.00243388936647486,0.0271655308130235,0.0337321143043345
62,1.25e-07,0.00252912504154098,0.0299398080321908,0.0330777210663693
62,2.5e-07,0.000797114528021858,0.0133859565230058,0.0160564620718374
62,2.5e-07,0.000898342728754689,0.0159451578601424,0.0118756068947401
62,2.5e-07,0.000881956677214158,0.0147390855731552,0.0172661216821066
62,2.5e-06,0.000465341865059469,0.00252485930612731,0.00248153062850918
62,2.5e-06,0.000524780776504022,0.00170009759112655,0.00552707748125965
62,2.5e-06,0.000539209560250349,0.00275054024799845,0.00293040420560548
