t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,3.5664998415629,-0.00627812052856806,0.0136615830732656,8.88237343825803e-05,-0.0324290379605481,-0.00036246413334848,0.0019497935886206,0.00463408332780602,0.015016250966167,0.0305323191587859
6,NaN,NaN,NaN,NaN,4.30764915183411,0.0129807873140794,0.00223829468136425,NaN,NaN,NaN
6.5,3.36413327775277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122349714178404,0.0307717608440954,0.0151521800333154
7.5,NaN,0.0971094551829745,0.687345572871938,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.000803018289284624,9.61216974736206,0.0325299426999888,NaN,NaN,NaN,NaN
15,2.95374241167103,0.0939282965476136,0.342058627396977,NaN,NaN,NaN,0.0394299685474316,0.00420887376954063,0.095283796834442,0.0315979068358655
20,2.97177905273585,NaN,NaN,NaN,16.270128652498,0.0606794644786573,0.0579791844887471,0.0324258653784646,0.124127807940105,0.0591346437376513
25,3.42786198212103,0.103134274471384,0.258661416518842,0.00141435967336891,16.4771944289978,0.0636216298499751,0.0650294207936835,NaN,NaN,NaN
30,NaN,NaN,0.221110580800688,NaN,NaN,0.0646885719738887,NaN,0.111844938782124,0.145848607781303,0.0994525967405121
35,3.18936298128756,0.0941784189802487,NaN,NaN,15.3752966936758,NaN,0.0591646912060715,NaN,NaN,NaN
40,NaN,0.0873688409437509,0.105765507015646,0.00181831581342882,11.7634466744906,0.0538286670351978,NaN,0.210671400748051,0.125200818529833,0.127152199584375
45,3.50369705031852,NaN,NaN,NaN,NaN,NaN,0.05153329070967,NaN,NaN,NaN
50,NaN,NaN,0.106561197282662,NaN,9.17257260470778,0.0382890201947835,NaN,0.211886269853643,0.0974148176562832,0.123638237369042
55,3.50303348477249,0.0792536599860888,NaN,0.00171500717809641,NaN,NaN,0.0345326524870371,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0287155748192822,NaN,0.208073363885932,NaN,NaN
65,NaN,0.0687000432908877,0.0785350018127775,NaN,6.25511515474994,NaN,NaN,NaN,0.062269358277767,0.0925564793902297
70,3.33979203903871,NaN,NaN,0.00191109607671955,NaN,NaN,0.023026512892318,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,3.86347353904272,0.0186649256534448,NaN,0.153552562968738,0.0388649768531495,NaN
80,NaN,0.0673427949779575,0.0515831270136357,NaN,NaN,NaN,NaN,NaN,NaN,0.0656707079450685
85,3.4913494176342,NaN,NaN,NaN,NaN,NaN,0.0111282121451914,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00193998321335646,NaN,0.0111014462857736,NaN,NaN,NaN,NaN
95,NaN,0.0677101009918341,0.0664733657248532,NaN,1.7433407634013,NaN,NaN,0.0900866616192381,0.0397520318189426,NaN
100,2.80713839000647,0.0790109946945579,0.102950750190397,0.00193692232135856,2.66718706717128,0.00647055385415749,0.00861375964697097,0.0805137805213547,0.0269765148540541,0.0232479096329371
150,NaN,0.0835131758637454,0.102135247524351,0.00244822413860904,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,0.00260425383365108,NaN,NaN,NaN,NaN,NaN,NaN
