t,Rec_Obs,ppS2_Obs,ppS3_Obs,geneD_Obs,geneG_Obs,geneH_Obs,geneL_Obs
0,2.02177235354613,-0.0629032201241542,-0.0380246850498294,0.960998615931944,0.996204082991277,0.82513009229041,1.05239951206474
25,1.84828591238324,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,14.9053252705898,NaN,NaN
40,NaN,6.06515983422518,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,3.12957650669702,NaN,NaN,NaN,0.587917997909168
55,1.75408813339218,NaN,NaN,NaN,NaN,7.62098659073644,NaN
65,NaN,NaN,NaN,1.48547510302237,12.0733176267591,NaN,NaN
80,NaN,4.30818656653202,NaN,NaN,NaN,NaN,NaN
85,1.54789667440442,NaN,NaN,NaN,NaN,NaN,0.368587719101918
90,NaN,NaN,3.22922773837814,NaN,NaN,NaN,NaN
100,1.45737030348693,3.88973928551508,NaN,NaN,10.1839606692374,7.60704204805879,NaN
150,1.34778819165917,2.47107885448879,3.01968876001897,2.23670069734182,6.92341451082914,6.90663084215526,0.200297701139206
200,1.1397396113213,1.6236300577132,2.58418141281204,2.15830300964965,4.72230271798978,NaN,0.208507948481277
250,1.51607768872786,NaN,2.44005066851663,2.88308154562799,3.13201734955986,6.09761822227238,0.309736514693868
300,NaN,0.715734076252424,2.10352184069943,NaN,3.12191754586436,4.92441737356729,0.406951765508824
350,NaN,0.473860731088932,1.5023211114463,3.08951355902028,NaN,4.7551156090156,0.428761008489135
400,NaN,NaN,NaN,NaN,NaN,NaN,0.673480250675704
450,NaN,0.647607707874807,0.977946690981255,3.32497442759089,NaN,3.04089370461276,NaN
500,NaN,0.122926314397017,NaN,NaN,NaN,NaN,0.869119890472692
550,NaN,NaN,0.460319066365221,3.13018783250615,NaN,2.31741192088245,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,0.970555959427281
650,NaN,0.15803602083913,-0.038738950212735,3.06835734237498,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,2.60494263621278,0.977091094715694
750,NaN,-0.0717867085653912,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,0.0683507275845344,3.16433802967407,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,1.58739846060062,0.981656589995988
1000,NaN,NaN,NaN,2.66364829570636,NaN,1.35629634097038,NaN
1500,NaN,NaN,NaN,2.39480437777494,NaN,NaN,NaN
