t,Rec_Obs,S4_Obs,ppS2_Obs,ppS3_Obs,geneA_Obs,geneG_Obs,geneH_Obs
0,2.32993421496519,72.4193709284315,-0.487745976226904,-5.81915837739152e-05,0.935496144399135,0.722279813201478,1.0674117793205
25,NaN,38.6519081550317,NaN,NaN,NaN,NaN,NaN
35,1.92866522906604,NaN,78.062728229472,NaN,NaN,7.82397675640009,NaN
50,NaN,NaN,NaN,0.186478167096592,NaN,NaN,NaN
55,NaN,34.7661193769518,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,2.52395855456113,7.35169163012491,NaN
75,1.71882009012352,NaN,58.7520589651202,NaN,NaN,NaN,2.28345899745316
80,NaN,36.7772126871991,NaN,NaN,NaN,NaN,NaN
100,1.39985113238255,38.8053869741444,45.0537084572272,0.186473206280005,NaN,6.26005924740148,NaN
150,1.44936511714466,43.1945221997949,24.126233067992,0.187600614269567,3.84507191090413,4.77037408213412,2.31996172285797
200,1.43778841154354,53.070627891731,17.2747007185341,0.170780003728459,4.23762957156083,3.81803867159108,NaN
250,1.32481334335374,57.9830055909892,NaN,NaN,NaN,2.33806404179492,2.31920423670566
300,NaN,61.2692007947902,5.34393077290948,0.155013345253346,4.00798159138244,1.93795974590197,NaN
350,1.2726636609557,NaN,0.274175542989215,0.121561976712248,NaN,1.67382431786835,2.82779159734621
400,NaN,73.063242247998,NaN,0.0797395394271433,3.57729539695177,NaN,NaN
450,NaN,70.3059634160618,NaN,NaN,3.24557509569154,0.878362471352423,3.52126758275754
500,NaN,NaN,NaN,0.0460679832387307,NaN,NaN,NaN
550,NaN,66.2779125062493,NaN,NaN,NaN,1.16367481366471,3.80817687766471
600,NaN,NaN,NaN,0.0172057394869621,3.10574897223462,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,0.804662550950104,3.6911550619727
700,NaN,NaN,NaN,-0.00384056805378733,2.13620816845078,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,2.60078582524535
850,NaN,NaN,NaN,0.0076697217309682,1.93167004525096,NaN,NaN
1000,NaN,NaN,NaN,-0.00758705847941941,1.37615906154571,NaN,1.08807313554934
1500,NaN,NaN,NaN,NaN,1.5144958102146,NaN,0.79550011229933
