t,S4_Obs,geneD_Obs,geneH_Obs,geneL_Obs
0,72.3523225271044,0.909608674237779,1.27226239075216,1.04249232939727
25,45.2360373698544,NaN,NaN,NaN
50,NaN,NaN,NaN,0.522233190170338
55,51.1707981359815,NaN,NaN,NaN
60,NaN,1.53465329897071,NaN,NaN
80,40.4059514321323,NaN,NaN,NaN
100,44.1447252952161,NaN,2.44280912222964,0.424040073064679
150,51.4404639437823,1.96989376841075,NaN,0.43816197269744
200,62.190762421498,2.3573042205605,2.3209532958588,0.564373098933738
250,63.557510600241,2.56090700918799,NaN,NaN
300,62.8886124698771,NaN,2.6341279933001,0.68801411066832
350,61.6306005090834,2.10712572973169,NaN,0.792798282384538
400,60.0148509970763,NaN,NaN,NaN
450,NaN,2.29946025064368,3.26573768700413,0.928256205889902
500,71.1368917414807,NaN,NaN,NaN
550,NaN,2.29361823367866,NaN,0.987847612015823
600,72.6538519617491,NaN,3.5189622160827,NaN
650,NaN,NaN,NaN,0.99096015186552
700,NaN,2.28992776104151,NaN,NaN
800,NaN,NaN,1.62028428089306,1.0310765639539
850,NaN,2.13907953166122,NaN,NaN
1000,NaN,1.84568586549122,1.18155503013165,NaN
1500,NaN,2.03480146531381,0.91817050875192,NaN
