t,Rec_Obs,ppS2_ppS2_ppS2_Obs,ppS3_ppS3_ppS3_Obs,ppS2_Obs,ppS3_Obs,ppS3_S4_S4_Obs,geneG_Obs
0,2.02645286122602,0.0452607041129486,0.0538227105931323,-0.0799578035604018,-0.0260801012359776,-0.0958891098435575,0.941239448263465
8.5,2.28486189133362,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,-0.0145227587408269,0.105438550276895,-0.0132282760602393,-0.0602723086669593,NaN,NaN
15,2.19146515782718,NaN,NaN,NaN,NaN,0.0590478957480505,1.06069610678833
20,NaN,NaN,NaN,-0.0614383291484812,NaN,NaN,NaN
25,2.54847848910658,0.0753608194127799,0.160163494996922,NaN,0.0146115028129346,0.000916765613824784,0.99338895717935
35,2.43737543160679,-0.0488645191053592,-0.0251500677790391,-0.0188530141978973,0.11280137628203,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.952490624912908
45,NaN,NaN,NaN,NaN,NaN,-0.0350112041168502,NaN
50,2.34104771849303,0.0590500963402609,-0.0488369401768479,0.038425106580811,-0.0863268976876805,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.900428580962132
60,2.13565865665577,NaN,NaN,NaN,NaN,0.0147051883681746,NaN
65,NaN,NaN,NaN,0.0790444207905417,-0.0295277769496511,NaN,NaN
70,NaN,0.0205832527163625,-0.0161906976298738,NaN,NaN,NaN,NaN
75,2.37484874313708,NaN,NaN,NaN,NaN,NaN,0.862110534497307
80,NaN,NaN,NaN,NaN,NaN,0.0336136114837596,NaN
85,NaN,NaN,-0.100146891842738,-0.0347625052092308,0.00845943028431531,NaN,NaN
90,NaN,-0.0061011681086278,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,1.06818317932741
100,NaN,NaN,NaN,NaN,NaN,0.0366791799063983,NaN
