t,Rec_Obs,S4_Obs,ppS2_Obs,ppS3_Obs,geneA_Obs,geneD_Obs,geneG_Obs
0,2.3168400776754,66.6925231745383,0.381364637006471,0.00106722030406223,0.967355108997344,1.17482306009863,1.32266878615777
25,NaN,NaN,34.1179227403755,NaN,NaN,NaN,NaN
30,NaN,47.0181526560082,NaN,NaN,NaN,NaN,NaN
35,1.9404472918648,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,7.3699854991472
50,NaN,NaN,31.8432842507686,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.280370174565862,NaN,NaN,NaN
60,NaN,43.481467227043,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,1.5629092652022,NaN
70,1.74000003778854,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,2.40249816105747,NaN,NaN
80,NaN,NaN,24.6075136897911,NaN,NaN,NaN,5.82077412983763
95,NaN,48.5658462111501,NaN,NaN,NaN,NaN,NaN
100,1.37903901582527,NaN,20.7792509418189,0.284967757216777,NaN,NaN,5.33114461818222
150,1.36930813247253,57.0360107341754,9.32433969175035,0.288557096152614,3.36227904945439,2.12471569471631,3.8705076933622
200,1.34193338115137,56.2657320793937,6.03394477702992,NaN,NaN,2.24395271773522,2.68116535933913
250,1.23402148568051,68.8207548007975,4.98132277973067,0.234674064608922,3.65327585284835,2.56629988949641,2.24790267280346
300,NaN,68.5446109702873,1.23837876428542,0.190326969509649,3.59962606449928,NaN,NaN
350,1.26348484769926,NaN,NaN,NaN,NaN,2.31277597264387,1.1431220611833
400,NaN,NaN,NaN,0.102385701722084,2.93316618696294,NaN,1.23956987769754
450,NaN,NaN,NaN,0.0559753010084697,NaN,2.29424762671316,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.91134026081575
550,NaN,NaN,NaN,0.0358340579082202,2.30725615027743,2.1397039822999,NaN
650,NaN,NaN,NaN,NaN,2.55746035697727,2.02751792397781,1.01374099131337
700,NaN,NaN,NaN,-0.00168992687972774,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,1.49403861669707,2.10475276161077,NaN
850,NaN,NaN,NaN,-0.00631349215912666,NaN,NaN,NaN
1000,NaN,NaN,NaN,-0.0101263594342266,1.24572651835574,2.30684726962463,NaN
1500,NaN,NaN,NaN,NaN,1.24405168486663,1.85438849324048,NaN
