t,Rec_Obs,ppS2_ppS2_ppS2_Obs,ppS3_ppS3_ppS3_Obs,ppS2_Obs,ppS3_Obs,ppS3_S4_S4_Obs,geneG_Obs
0,2.34012987711302,0.0546461290194487,0.0305818299952798,0.145923098355328,-0.0071873932491589,0.0812202522631912,0.887607078636594
10,2.22516175437852,0.110894913899338,0.0274697850640191,NaN,NaN,-0.0081825541827026,1.0393606174721
15,NaN,NaN,NaN,0.0681152230338178,0.083010250146383,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,-0.0508861680896798,1.12056048110768
25,2.45674924882413,0.0256848667024194,-0.0167221341232095,0.0250052483491604,-0.0303691333611871,NaN,NaN
35,NaN,0.0621323429835248,NaN,NaN,NaN,0.0679353789492706,1.0027537585145
40,2.14279688486105,NaN,0.0480733290385725,-0.0767199375941907,0.0669293598514104,NaN,NaN
50,NaN,-0.107512053799084,NaN,NaN,NaN,-0.0329440321514605,1.06404630947691
55,2.35607466633399,NaN,-0.117362844488275,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,-0.109159727346362,0.0297112697267387,NaN,NaN
65,NaN,0.031644402750908,NaN,NaN,NaN,-0.0245567580777334,1.0048839501136
70,2.21619246009852,NaN,0.0414750748729341,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,-0.00779283866342586,0.0990389139825132,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,-0.0874949433489468,0.951818580359276
85,NaN,-0.0923424683113974,NaN,NaN,NaN,NaN,NaN
90,2.30734696341024,NaN,0.0855617319166095,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,0.0158234606144786,0.147123943013982,NaN,NaN
