t,S4_Obs,geneD_Obs,geneH_Obs,geneL_Obs
0,72.4977593132077,1.0391465322786,1.04561055000323,1.0208142945941
10,77.4498712967115,1.12438327382086,0.942959244647199,1.06725991026028
25,75.8624120710474,0.910686551597738,0.857508356147493,1.02304012625237
35,72.6578901343445,NaN,NaN,1.0008916733278
40,NaN,0.928254456084175,0.972537574712918,NaN
50,69.4611894255822,NaN,NaN,0.980550385186994
55,NaN,1.03247550473786,0.919907969969863,NaN
65,70.795870914049,NaN,NaN,0.894911373238524
70,NaN,NaN,1.07681531895158,NaN
75,NaN,1.03150758863492,NaN,NaN
85,83.3729685218896,NaN,NaN,0.924278133516302
90,NaN,NaN,1.01872640885609,NaN
95,NaN,0.934807174206036,NaN,NaN
