t,Rec_Obs,ppS2_ppS2_ppS2_Obs,ppS3_ppS3_ppS3_Obs,ppS2_Obs,ppS3_Obs,ppS3_S4_S4_Obs,geneG_Obs
0,2.49535017521765,0.0470234357064324,0.0494857628073728,0.0360465801569367,-0.0167477069143938,-0.0212167676722547,1.02674320059387
9.5,NaN,-0.0832361243798064,NaN,NaN,0.0524023499530252,NaN,NaN
10,NaN,NaN,NaN,0.0417077529243381,NaN,-0.00829295975694762,1.08862245121702
15,2.3387542383856,NaN,0.0193763406650017,NaN,NaN,NaN,NaN
20,NaN,0.0839513189863121,NaN,NaN,0.0810204825434866,-0.0724938754247246,1.1108106961074
25,2.14061108100052,NaN,0.0710565880387498,-0.0521054299206855,NaN,NaN,NaN
30,NaN,-0.0197131694475126,NaN,NaN,0.0838077183168706,NaN,1.00281963721736
35,NaN,NaN,NaN,NaN,NaN,-0.105833572031528,NaN
40,2.43092181038664,NaN,-0.0670334920848374,-0.032077304181132,0.00106655459916795,NaN,NaN
45,NaN,-0.104302281341814,NaN,NaN,NaN,NaN,1.0870232238868
50,NaN,NaN,NaN,NaN,NaN,-0.0902460805366422,NaN
55,NaN,NaN,NaN,-0.0337574048507785,0.0509556195812692,NaN,NaN
60,2.10296786971948,0.0246408446760722,-0.0122377816871753,NaN,NaN,NaN,0.943407323488613
65,NaN,NaN,NaN,NaN,NaN,0.0594211477934263,NaN
70,NaN,NaN,NaN,0.0143296698113157,-0.0952112954312906,NaN,NaN
75,NaN,-0.0185003618810855,NaN,NaN,NaN,NaN,1.01186411134492
80,2.33783109669579,NaN,-0.0484429835784069,NaN,NaN,-0.00731755632266905,NaN
85,NaN,NaN,NaN,NaN,-0.0726642227224302,NaN,NaN
90,NaN,NaN,NaN,0.0168075193751089,NaN,NaN,NaN
100,2.3483791451791,NaN,-0.1236146949312,NaN,NaN,NaN,NaN
