t,Rec_Obs,S4_Obs,ppS2_Obs,ppS3_Obs,geneG_Obs,geneH_Obs,geneL_Obs
0,2.47579431599186,204.229264969598,-0.197410049640979,-0.0108252705523183,1.08428236437299,1.27856021321656,1.0599959089761
30,NaN,NaN,11.3515879027396,NaN,9.47116357930253,NaN,NaN
35,NaN,128.147456230336,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.772591085272517
45,NaN,NaN,NaN,0.481307873031243,NaN,NaN,NaN
50,1.69173924720304,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,9.03536501597593,NaN,NaN
65,NaN,NaN,7.97936991832994,NaN,NaN,NaN,NaN
70,NaN,152.232023448186,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,2.33328039146396,0.548362143319376
90,NaN,NaN,NaN,0.490952527875617,7.31076992262891,NaN,NaN
100,1.7207076120671,150.116325625066,4.71348414385325,NaN,7.03333417416233,NaN,0.441945972589929
150,1.38652880232024,193.929109005242,1.88266422171952,0.50841892957416,4.93042108917666,2.49070113478806,0.332562560402978
200,1.34837377942891,184.999309031464,0.935675031957286,0.422532297348611,3.40978685498152,NaN,0.416222442986233
250,NaN,204.574788597186,0.572802483153923,0.34646297746652,2.72800584659708,2.8276558242536,NaN
300,1.33393672039401,NaN,0.508553217162067,0.265294923689934,1.68656819981789,NaN,0.733858869819826
350,NaN,208.273807412607,NaN,NaN,1.37566562756961,3.56596255475501,0.758411741056959
400,1.23789240530059,NaN,NaN,0.0996717311165119,1.01868391722837,NaN,0.912001870276209
450,NaN,NaN,NaN,0.0426331749440545,1.16041349630014,4.01952850790433,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.971949645418973
550,NaN,NaN,NaN,0.000747613456118235,1.05751120658218,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,4.07901226336837,0.990581504620339
650,NaN,NaN,NaN,0.0133169211618137,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,1.08619053196705
750,NaN,NaN,NaN,0.0156829234891177,NaN,2.73788830117516,NaN
900,NaN,NaN,NaN,-0.0254920701962017,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,1.67442817720258,NaN
1000,NaN,NaN,NaN,NaN,NaN,1.18496237676655,NaN
1500,NaN,NaN,NaN,NaN,NaN,0.90400548288792,NaN
