t,geneD_Obs,geneH_Obs
0,1.07625546541917,0.984623242806295
65,1.39835690522995,NaN
80,NaN,2.47490732697051
150,1.96416854634785,2.49718683192492
200,2.34623664053332,NaN
250,NaN,2.56889027153955
300,2.20858625977249,NaN
350,2.13997329335064,2.45746755950692
450,2.31944970311044,2.986525365396
550,2.05766226441348,NaN
600,NaN,3.04718082150109
700,2.03201862853922,NaN
750,NaN,1.77925515045354
850,2.02160748760073,NaN
950,NaN,1.21757393627793
1000,2.10475626336417,1.18326438638523
1500,1.54250143262989,1.1369024748328
