t,b10_Obs,ohb10_Obs
0,0.000882898162435845,0.0016143055321464
20,0.0548828284073859,0.416568880967988
40,NaN,0.514614095543943
45,0.136126858398923,NaN
65,NaN,1.03182603971835
70,0.0880551956902806,NaN
85,NaN,0.949851088193109
95,0.142950244336341,NaN
100,0.102341710355523,0.61613658175575
150,0.217287036815673,0.612581241325094
200,0.162639433649444,1.14223636315651
250,0.216898442092243,0.520335228293059
300,0.0893432974465951,0.214990107244191
350,0.0857381341861573,0.345472739606553
450,0.0987033819238665,0.097142276832918
