t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,32556047.1573774,26204613.6791531,49320404.0044106
3.5,NaN,18755293.6500825,55404961.2250867
4,109716057.5448,NaN,NaN
7,NaN,26826572.5293339,63601972.9203916
8,142619558.488237,NaN,NaN
10,NaN,21056229.3641301,75553339.7758189
15,146226635.674081,34184566.3606181,79450355.5102561
20,164656820.738673,43389427.3947527,96756380.1351085
25,135055619.152822,98171423.8192562,129332887.370904
30,192309628.057733,85941320.9963196,111778566.997029
35,185724675.326492,83248179.2057579,NaN
40,NaN,86903908.4197867,147488780.413808
45,193324685.055206,NaN,166851800.479551
50,NaN,84715282.8616649,NaN
60,215968037.31304,100248518.80197,194671272.313429
70,239613551.820009,98066656.119596,210228125.720671
