t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-6874594.62594723,413559.368763715,49738373.5883795,35668978.7803874
2.5,NaN,NaN,128715099.442058,NaN
3,120154916.336354,NaN,NaN,NaN
3.5,NaN,72531470.8994561,NaN,210638819.692556
5.5,NaN,NaN,229485842.307602,NaN
6,199225762.458897,NaN,NaN,NaN
7,NaN,112245303.854817,NaN,NaN
7.5,NaN,NaN,NaN,454442447.68104
8,NaN,NaN,263610872.284486,NaN
9,257288590.191652,NaN,NaN,NaN
10,NaN,122599527.898979,269953226.001282,322188367.379614
15,293041452.906801,141541371.604516,356994997.069362,474831549.167088
20,345356752.265099,176596277.892902,396612528.802283,648316218.398939
25,369431489.684252,208571052.763927,409742394.969088,559554999.023623
30,NaN,193515945.748413,424596765.266441,NaN
35,399993885.065827,194208057.876233,430452016.607269,608807105.583401
40,377288887.18332,NaN,448178340.406151,NaN
45,NaN,183982742.956358,NaN,580525530.952886
50,417069466.637359,NaN,418542570.373576,NaN
55,NaN,179837504.553972,NaN,586154778.503851
65,NaN,181586535.494157,NaN,671363746.417208
