t,SHP1_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs
0,31.9678338486086,81.4554985475112,1.10728779809473,120.969315611342,0.00445374745966461,-0.783177713630003
5,NaN,NaN,4.66652776937228,-71.1048765892938,NaN,NaN
6,NaN,7.79523249682525,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,-0.0188030022968401
10,30.2748201321555,NaN,16.2878223960906,87.7764383598918,0.00217420729187118,NaN
15,NaN,9.72101328987845,18.3172441379452,206.338251793375,NaN,NaN
20,NaN,21.5900811090667,21.9273125923568,529.200047343648,0.00964727436677606,-1.79094336023295
25,30.9069789719904,25.983777383575,NaN,868.922107696098,NaN,NaN
30,NaN,NaN,23.2062899534711,NaN,0.0312950985674269,0.826846872521625
35,40.6232258775049,32.9873242830392,22.455533123283,1517.95415741281,NaN,NaN
40,NaN,NaN,NaN,1755.29485693604,NaN,1.02122936700548
45,NaN,32.5719895686433,19.3916715720395,NaN,0.0966099670544169,NaN
50,33.3954727926329,NaN,17.3640018589337,1754.57901962626,NaN,NaN
55,NaN,51.0736408852219,NaN,1632.35443540999,0.14324423874764,9.12172451949434
60,30.7907112934277,NaN,NaN,NaN,NaN,NaN
65,NaN,66.7269912015705,8.26037341400844,1506.65601939291,NaN,10.3633385809667
70,NaN,NaN,NaN,NaN,0.158935492992555,NaN
75,NaN,NaN,8.1043031874796,NaN,NaN,NaN
80,34.4797260754384,75.5256241006676,NaN,1242.97469407194,NaN,NaN
85,NaN,NaN,NaN,NaN,0.127533939885362,19.4073603625303
90,NaN,NaN,7.55805808539489,NaN,NaN,NaN
95,NaN,75.7608446059503,NaN,1062.58349879845,NaN,NaN
100,40.7689881877123,63.0985125325879,4.30859930037347,771.825167809517,0.0943625255340604,23.021653099777
150,32.9509093293674,76.8236160615006,NaN,398.279292601765,0.0333876381043138,21.758860547561
200,25.2145906285458,NaN,NaN,NaN,0.020094362824654,18.7860704645018
