t,EpoRJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,4.28651218656149,34.3702163402891,0.0105486737927932,85.0066044018296,-1.63141043999118,0.87246646964563,-76.8967196484084,-0.00532241544798893,1.4541641071225,2.04013209616413e-05,-2.7131227889199e-05,1.83487520668474e-05
15,3.06957736653326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,-3.04203209837324,50.9032030680392,NaN,598.113168606014,0.0177167006812226,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,23.9851494341886,NaN,NaN,1.00904204699697,NaN,NaN,NaN
30,4.35942708216609,31.5997976480246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,1402.74219696249,NaN,NaN,NaN,NaN,0.000997328717583382
40,NaN,NaN,0.212130532459322,39.4918147764998,NaN,NaN,NaN,0.0730843861724334,NaN,0.000855773772816605,0.00081033002581677,NaN
45,NaN,NaN,NaN,NaN,24.7911771093084,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,3.45266650050773,NaN,NaN,NaN,NaN,15.8430946060491,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.307789826519,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,1564.73992831145,NaN,NaN,NaN,NaN,NaN
65,4.0243245914868,28.4844180290886,NaN,70.5858962894518,14.2366459950944,NaN,NaN,0.142022571823485,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000427507002328343
75,NaN,NaN,NaN,NaN,NaN,8.34613480153458,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,1187.53567620303,NaN,NaN,0.000339725313153921,0.000358049251441434,NaN
85,4.30879884014593,NaN,0.235936425669867,56.1721885518457,NaN,NaN,NaN,NaN,21.0498297861522,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,8.82262566133059,NaN,NaN,0.119634958750884,NaN,NaN,NaN,NaN
100,3.94723886381118,37.3591648159627,NaN,89.3848785574476,7.59690212484964,5.6186571812315,696.475642050131,0.0913526664133779,22.7503714815854,0.000213287416245715,0.00023549622425063,0.000297232296524746
150,3.21472889879101,31.1371416690817,0.25755477656415,82.2215514880513,6.70689084599276,3.97925945262436,341.181201114283,0.0364250006660426,22.4967033246045,0.000121015065668556,0.000163542007590209,0.000143630582760159
200,4.45997691234991,33.0962332686023,0.295072817545484,84.5209797847799,7.65561338205121,3.07531273198077,299.224890261885,0.0238223121004807,17.7271873749275,NaN,NaN,0.000117086935659655
250,4.25275510783722,34.788575068278,0.270196792013356,83.0527489904835,5.22222555215084,1.60345448843194,NaN,0.0190484944530162,14.2136402211799,0.000128249967782079,0.000124231410330888,0.000121554468730438
300,NaN,NaN,0.332598428022576,82.2655090623924,5.70068555919873,NaN,286.987600501543,NaN,9.61061609307565,8.49113610127123e-05,7.99786787952006e-05,9.7472304523061e-05
350,NaN,NaN,0.336394477693809,NaN,5.06131968227549,2.77230437888141,NaN,NaN,11.0057318426029,0.000135661854108554,NaN,NaN
400,NaN,NaN,NaN,79.3840055253421,NaN,3.43486388819704,NaN,NaN,NaN,NaN,0.000111704866659678,9.70689351201173e-05
450,NaN,NaN,0.285412212602538,NaN,4.39372753167984,NaN,NaN,NaN,8.58845529898792,0.000127092635335737,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000137420966003277,0.000113077601033333
550,NaN,NaN,0.336090053043565,NaN,NaN,NaN,NaN,NaN,6.97801521594841,NaN,NaN,NaN
650,NaN,NaN,0.30095519482065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,0.307791394929028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
