t,CISnRNA3_Obs,CIS_Obs
0,164.928289539135,-0.170360278431436
6,132.145789462144,NaN
10,216.435464023205,1.81846577788006
20,557.10760181704,-0.902931673159977
25,1202.97257399472,NaN
30,1332.96621970946,1.4026649744472
40,1778.69298812146,NaN
45,NaN,5.31029274365277
50,1715.54575019658,NaN
55,NaN,7.34448478390497
60,1746.94007363207,NaN
70,1737.64932967059,NaN
75,NaN,18.852978319093
85,1104.19128652636,NaN
90,NaN,25.4322347969351
100,968.496518422207,27.1089633245716
150,806.199255563125,29.4244593580772
200,NaN,24.2657140630726
