t,EpoRJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,3.89245160713991,37.9115333061042,0.023182988052783,-0.130122537636312,-0.0909369854383045,0.521538160594838,9.72127797449619e-05,-0.0730153317341815,-1.69825127315301e-06
10,4.73662045819213,32.1236079313662,NaN,NaN,0.154740160342169,-7.99568663369048,NaN,0.016162299682895,2.29483777128827e-06
15,NaN,NaN,0.0489882427935954,1.27041917922781,NaN,NaN,5.94644057317727e-05,NaN,NaN
20,3.93930048566146,32.4327892737392,NaN,NaN,NaN,8.73898214119989,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.459605080059242,NaN,NaN,0.00640346358238284,2.19215188399551e-05
30,4.70944976295211,29.0978832008382,0.0722311756997588,1.46464029551526,NaN,18.841419177689,9.42862942062256e-05,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106709678805304,NaN
40,4.10676459647216,NaN,NaN,NaN,0.538490048617586,NaN,NaN,NaN,2.42639907317622e-05
45,NaN,33.7858081731918,0.108178965316052,1.23599588072433,NaN,45.351964698695,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.64380101669825,NaN,0.00205955424266617,0.0806782231437172,NaN
55,3.93430382849133,38.0293175800217,NaN,NaN,NaN,51.559224008234,NaN,NaN,2.66976210122308e-05
60,NaN,NaN,NaN,1.11516545184677,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.0766339022719566,NaN,0.494182619840437,NaN,0.00373815648570953,0.30872230466909,NaN
70,4.62932172971631,36.7274347632231,NaN,NaN,NaN,56.4567847403574,NaN,NaN,2.27834578845937e-05
80,NaN,NaN,NaN,0.723559599318252,NaN,NaN,NaN,0.450422256961206,NaN
85,NaN,28.6686961067445,0.128433628630387,NaN,0.410486519972442,NaN,0.00469230955316409,NaN,NaN
90,4.84116791708198,NaN,NaN,NaN,NaN,42.73092560954,NaN,NaN,2.02278514132533e-05
100,3.41864313369705,30.4142299619466,0.127552193626606,0.534741092828784,0.331058480693498,43.4109036377627,0.0042396689637118,0.619069011366556,2.07976318593146e-05
150,3.9858105333676,34.1029860865043,0.126951182159396,0.698628831856201,0.373104477294385,38.3993438708053,0.00310299593750362,0.949153494346949,1.22610773683739e-05
200,NaN,32.0187249839231,0.126874098549764,0.486424128548719,0.261316728616934,28.9328732232727,0.00310131215772089,0.93019046709596,1.32191164744563e-05
250,NaN,NaN,0.138666956009609,0.580351814097803,0.367005595787506,NaN,0.00224879402852575,NaN,NaN
300,NaN,NaN,0.145058682358418,NaN,NaN,NaN,0.00196558124217722,NaN,NaN
