t,epo_level,SHP1_Obs,npSTAT5_Obs
19,2.5e-09,34.5712081895062,-0.714943581201602
19,7.905e-09,36.1451420269505,3.95318703186314
19,1.25e-08,35.8431078596756,1.51607986833303
19,1.75e-08,26.8024922683974,7.78195591976107
19,2.5e-08,34.6826844968099,8.38786746328982
19,3.95e-08,28.6858304580693,12.8089737749506
19,3.95e-08,29.2356119977939,13.458364636444
19,3.95e-08,39.2741762153093,8.91601930906224
19,7.9e-08,27.471980780103,23.9977286638826
19,7.9e-08,31.4253254753388,18.4424545249559
19,7.9e-08,37.6484360182824,20.7452725392204
19,1.25e-07,29.1367711499336,21.6528771912319
19,1.25e-07,33.1482557388255,23.2137983794571
19,1.25e-07,37.026573869766,23.1996129319895
19,1.7675e-07,29.9546102368668,26.9225421637339
19,1.7675e-07,31.6090302528843,22.0016067760357
19,1.7675e-07,32.0906882778814,24.9896781102709
19,2.5e-07,34.7789992717502,23.3571106473294
19,7.905e-07,26.6543900987431,25.3515618106208
19,7.905e-07,32.9609124033785,23.2386561306373
19,7.905e-07,35.0287601654136,25.5251432556557
19,2.5e-06,27.3011101624287,27.5494632965782
19,2.5e-06,35.3708299033888,28.1597164575942
19,2.5e-06,35.8656658971612,26.3388579157463
