t,EpoRJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,4.66890004857108,43.4602079455786,0.0107916959694059,-0.723717693461911,0.294767787829559,-23.1871990362661,-0.00283050562228608,237.041432445238,-7.85542339382323e-06
8,NaN,28.0573221307773,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,3.13793041428155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,33.4770100169984,0.179147190828256,11.114000378957,2.96021485373663,27.7789272594899,-0.00332942069703817,271.009582402814,NaN
20,4.13055125881378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000138332915711039
25,NaN,36.0316888929131,NaN,11.7601884732002,NaN,92.7779586753878,NaN,NaN,NaN
30,3.85989385816377,NaN,0.194185462839287,NaN,5.1118288844984,NaN,0.00360061847911688,NaN,NaN
35,NaN,32.5567279929301,NaN,NaN,NaN,NaN,NaN,252.200325573615,NaN
40,NaN,NaN,NaN,10.1712971238263,NaN,261.654503225014,NaN,NaN,0.000235015499788937
45,4.42369976496724,34.2307534510425,0.273686964113981,NaN,5.47029400321657,NaN,0.0132281263582619,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230.130679628916,NaN
55,3.94974098984843,32.2816274531043,NaN,8.99342531539809,NaN,432.007331155101,NaN,NaN,NaN
60,NaN,NaN,0.275699161567635,NaN,NaN,NaN,0.031423357578094,NaN,0.000207583556140739
65,NaN,29.4509393173253,NaN,NaN,5.46350971866529,NaN,NaN,NaN,NaN
70,3.31415191288124,NaN,NaN,NaN,NaN,494.06016470535,NaN,230.846243709221,NaN
75,NaN,NaN,NaN,6.96383235544565,NaN,NaN,NaN,NaN,NaN
80,NaN,31.4321825880632,0.275735928753489,NaN,NaN,NaN,0.0390407227025758,NaN,NaN
85,3.00315049629659,NaN,NaN,NaN,5.39342886374056,NaN,NaN,NaN,0.000209615603074564
90,NaN,NaN,NaN,6.48263479251911,NaN,433.195398434514,NaN,NaN,NaN
95,NaN,27.8900442906273,NaN,NaN,NaN,NaN,NaN,306.575824232808,NaN
100,3.08920290059887,34.8242066713491,0.305145571275669,8.12991270810582,4.55335383045356,482.79826952378,0.039793810622898,308.676918082678,0.000204914246831519
150,4.47604155131092,42.5494390124436,0.319561189395824,4.65735097803716,3.31343843194841,335.804368107418,0.0304260657359536,264.440413043809,0.000130917701722468
200,4.73899114051955,NaN,0.260939160620119,5.867262733407,3.11540102030079,315.867215213129,0.0294140493174383,271.417883931353,0.000120886383278351
250,NaN,NaN,0.350192110260491,7.33441896342235,2.57382468380278,251.483605271485,0.0256267732475255,309.003759278902,0.000133429269801428
300,NaN,NaN,0.319450496229576,6.43941222604186,2.57381759817443,247.044214026962,NaN,285.795473904273,0.000139217722206836
