t,SHP1_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs
0,116.858902494318,84.8447753278994,0.383202899894307,73.030191679248,0.00794086184137035,-0.907102059752405
5,NaN,NaN,NaN,34.2048093093853,NaN,NaN
7,NaN,16.7077472815478,9.46455030251005,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-0.00142606196462879,NaN
10,93.386082908288,NaN,NaN,127.829823229455,NaN,-0.960414388974549
15,NaN,36.7290138126182,17.7761263420572,160.924373775847,NaN,NaN
20,112.229444447011,29.4383665347814,19.4830489973278,474.44457838817,0.0111789615649686,1.10880537061282
25,NaN,NaN,NaN,603.679483397968,0.00551032789839416,NaN
30,82.0066819464444,28.2416919695309,21.0089057150771,NaN,NaN,2.44805017085499
35,NaN,NaN,NaN,1216.31260347523,NaN,NaN
40,NaN,54.7643178883487,16.7950631252785,1199.34022198911,0.0575959742294556,3.25501953647767
45,100.051343485363,NaN,NaN,NaN,NaN,NaN
50,NaN,57.5195028766544,15.8106861227315,1472.18122070641,0.103962770183868,NaN
55,116.572160472761,NaN,NaN,NaN,NaN,5.92185058054473
60,NaN,57.2910011891418,10.2945986058094,1320.66705373785,NaN,NaN
65,NaN,NaN,NaN,NaN,0.119479213664228,NaN
70,112.020571345931,NaN,NaN,1244.21402522261,NaN,10.9654329546795
75,NaN,79.1798768096469,7.49716131421025,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.111096820823367,NaN
85,115.691660257975,NaN,NaN,917.685626309468,NaN,14.996971745299
90,NaN,77.4597334602351,NaN,NaN,NaN,NaN
95,NaN,NaN,5.03520721483397,NaN,0.0756789981844575,NaN
100,109.065941659049,89.1406439665216,7.38048345269182,485.430348398379,0.0840828028294212,17.9852743993838
150,91.7170732789074,85.5559162681223,2.89940918151714,NaN,0.0296837029465184,16.5994372232622
200,108.221721058882,NaN,NaN,NaN,NaN,12.869455017522
