t,epo_level,CISnRNA3_Obs,CIS_Obs
40,2.5e-09,-61.990755610467,-0.221328072808147
40,2.5e-09,42.5094006813518,-0.347449612655775
40,2.5e-09,90.8428807579218,-0.201427467490518
40,2.5e-08,148.724643273616,1.42379661616805
40,2.5e-08,363.978074595201,0.857087233076346
40,2.5e-08,494.594848260123,0.450007906912579
40,1.25e-07,1528.85815952912,3.023892987601
40,1.25e-07,1660.40127612206,3.17675955388854
40,1.25e-07,1775.88374872177,2.65600911621231
40,2.5e-07,1783.16989262066,3.62762331913248
40,2.5e-07,1801.61182637063,2.82659914532676
40,2.5e-07,1897.57822331807,3.11772627297582
40,1.25e-06,1452.68296087893,3.41255071459263
40,1.25e-06,1722.08685977026,3.3455976005409
40,1.25e-06,1768.71131919891,3.67790489020604
40,2.5e-06,1699.47187919718,3.88182206936516
40,2.5e-06,1754.25629761492,3.68815919880794
40,2.5e-06,1848.41747964157,3.49716179139316
