t,EpoRJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs
0,4.18165678924139,39.0390701263445,0.0425879233593585,85.2705963402633,-0.358321240136823,-4.40587179828424
10,3.42591415899165,NaN,NaN,NaN,NaN,NaN
15,NaN,26.5998063006556,NaN,-0.815650881404408,69.7451893608453,26.407846252538
25,3.96823616601744,NaN,0.177467993463883,NaN,NaN,NaN
30,NaN,35.1698964069712,NaN,NaN,49.7647378024216,25.5360576522042
35,3.42449039016891,NaN,NaN,6.44988300892989,NaN,NaN
45,NaN,33.3018706173076,0.213469903335077,NaN,39.4051890554223,24.7677127422171
50,3.24458108979406,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,25.8365946475249,NaN,NaN
65,3.49789137913017,34.33714554156,NaN,NaN,36.3039703623436,25.6063684915403
70,NaN,NaN,0.298034955772099,NaN,NaN,NaN
75,NaN,NaN,NaN,30.1047089753294,NaN,NaN
80,2.88191079816256,NaN,NaN,NaN,NaN,NaN
85,NaN,33.7428327626882,NaN,NaN,35.2844417782494,16.3699606816484
95,NaN,NaN,0.318985657389946,39.207984980731,NaN,NaN
100,4.74590790920214,31.3455432339315,NaN,43.781218686797,34.4189646542978,17.4751313236452
150,3.94126932488019,NaN,0.279258603102149,49.74709415136,30.3570490470434,16.0748127236803
200,3.29596512769276,NaN,0.328847205825352,43.6858629109973,22.7849100986826,12.8980600030942
250,NaN,NaN,0.360925820640303,52.5019127368649,22.0697982769967,12.1786183002482
300,NaN,NaN,0.360284306800296,NaN,NaN,13.48414520953
350,NaN,NaN,0.38859724435714,51.0494851460928,31.7182043746186,NaN
450,NaN,NaN,0.364662848315986,NaN,NaN,NaN
