t,SHP1_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs
0,105.460725853542,95.7938163311355,1.51195804835731,5.3420215577584,-0.00279200969238738,0.743155518960204
5.5,NaN,NaN,5.4434551351752,48.3558807748392,NaN,NaN
6,NaN,11.3321310786095,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,-0.00691607998773781,NaN
9.5,NaN,NaN,NaN,NaN,NaN,-1.27991673596963
10,111.070334428657,18.4994240758806,11.7459386154181,14.4331038051553,NaN,NaN
15,NaN,NaN,18.39524285586,136.751891049737,-0.00339011172096357,NaN
20,118.612760003142,35.5525218557683,NaN,NaN,0.00291888261939905,1.26373760178164
25,NaN,37.8958036246936,18.8283205523317,519.88478664824,0.0196802621540936,NaN
30,97.0316088850156,40.3112943808407,18.0731442906595,940.965161249293,NaN,1.53311392991453
35,NaN,NaN,19.2010050546403,NaN,0.0478947071415907,NaN
40,NaN,44.1069767633128,NaN,1374.6001270857,NaN,1.94940769014382
45,93.5817489319703,NaN,14.7879175903503,NaN,0.0860498270076326,NaN
50,NaN,56.8678763794277,NaN,1376.13264313774,NaN,NaN
55,106.421675025475,NaN,11.340961938247,NaN,0.113504782890447,8.22139571629073
60,NaN,58.1419279120832,NaN,1278.59156288317,NaN,NaN
65,NaN,NaN,12.7911683267648,NaN,NaN,10.8662561457201
70,92.3275018138119,63.646801301156,NaN,1118.93297742818,0.115485193306428,NaN
75,NaN,NaN,7.38503760608716,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.101960773684833,15.2615670797854
85,95.8926873015647,72.3074016168734,NaN,686.126599664842,NaN,NaN
90,NaN,NaN,5.47428505108507,NaN,NaN,NaN
100,114.649209305231,82.0592371390053,6.00386576417461,661.496725748748,0.0794038146422086,17.9018499130032
150,107.965512483728,77.9728652732338,2.36299936548017,NaN,NaN,18.4321171733468
200,125.644541090033,NaN,NaN,NaN,NaN,15.8408011135445
