t,EpoRJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs
0,4.41235644533237,33.2128281040671,-0.00406394340231983,-0.0268251186385522,-0.0713508277441758,2.96686154985488,-3.62819643736784e-06,0.00997524753076828,-8.53139929565089e-07
9,NaN,31.1423563330074,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,4.31343172297993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.123832289319828,1.28376958918405,NaN,NaN,NaN
15,NaN,NaN,0.0470780342347867,1.35657555646836,NaN,NaN,0.000258369449589145,0.00507674258214728,1.3845097010093e-05
20,4.209435057728,33.6575766222258,NaN,NaN,0.517243661701223,3.77990573546911,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.33274692844328e-05
30,4.66312550894758,33.5172927091113,0.0796653454288624,1.33716148847118,NaN,19.9180077293698,NaN,-0.00520464056522972,NaN
35,NaN,NaN,NaN,NaN,0.645802820074913,NaN,0.000760089174042763,NaN,NaN
40,4.57309331932862,35.0940126025323,NaN,NaN,NaN,NaN,NaN,NaN,2.92212001943414e-05
45,NaN,NaN,NaN,1.18802076188023,0.652023309831203,47.2981778822746,NaN,0.0302274345345804,NaN
50,NaN,31.9363269688015,0.0965787419919305,NaN,NaN,NaN,NaN,NaN,NaN
55,4.02781349427941,NaN,NaN,NaN,NaN,NaN,0.00251231995780712,NaN,2.72497214607106e-05
60,NaN,32.6952919498054,NaN,1.07451857804422,0.610248373690887,48.0215904829141,NaN,0.206326706948741,NaN
65,NaN,NaN,0.10468264297588,NaN,NaN,NaN,NaN,NaN,NaN
70,3.39873682772957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,37.6489357193246,NaN,NaN,0.541610396107613,50.7991090714381,0.00408677150603078,NaN,2.21578574132916e-05
80,NaN,NaN,NaN,0.962511420754355,NaN,NaN,NaN,0.521330311909484,NaN
85,3.72606960440334,NaN,0.14023981805586,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,33.2198872200804,NaN,NaN,NaN,51.1952065016999,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.397263879389671,NaN,NaN,NaN,1.93112057341278e-05
100,3.77875198546974,41.2507387523739,0.124951364193319,0.780050257135264,0.407557137374115,41.7613158381295,0.00445708757882014,0.578461396894067,1.73955350972606e-05
150,3.68262491099591,33.7747218765163,0.15140469738016,0.595722781029769,0.335040750746734,39.3484063919442,0.00273591324775778,0.945213034284685,1.31859666174749e-05
200,3.99926459773165,NaN,0.133797861318542,0.522450094398655,0.32534370602907,26.5479205973294,0.00218940934619028,0.906259273933731,9.27377021947649e-06
250,NaN,NaN,0.12318821457344,0.610466072705326,NaN,NaN,0.00189846353232623,1.00958755093733,1.27115493749355e-05
300,NaN,NaN,0.146209463592852,NaN,NaN,NaN,0.00230494568458461,NaN,NaN
