t,input_il6,STAT3_Obs
1000,0.1,20.9997115595244
1000,0.1,27.023313404984
1000,0.5,32.7592352767761
1000,0.5,36.2424839920508
1000,1,31.7611254890084
1000,1,25.4142631852605
1000,2.5,32.4040927265784
1000,2.5,28.9333376853493
1000,5,39.6664918867116
1000,5,30.4545419993244
1000,10,30.5913660875643
1000,10,30.4302640420019
1000,25,29.1308611218746
1000,25,28.4891815549218
1000,50,31.446944662899
1000,50,31.3533266587201
1000,100,30.0553132900936
1000,100,32.4323490739277
1000,500,30.0500288849552
1000,500,29.2183630408875
