t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,28.5018409560207,0.317303636590327,0.122537818049857,0.000331180997480804
10,32.7619217047785,5.64633665100432,27.5031748697288,0.0137316904171369
20,33.5967517263989,NaN,16.043751520104,0.284111699150536
25,NaN,0.112968482565375,NaN,NaN
30,28.7377321744869,NaN,NaN,NaN
35,NaN,0.228428834847244,0.85451975762667,0.722394118153577
45,29.0830739231288,NaN,0.765067977050771,NaN
50,NaN,-0.14686931932712,NaN,0.200712139164176
60,36.509638568857,NaN,1.3700455961261,NaN
65,NaN,0.0568726932302011,NaN,0.0130207300926716
75,28.4081157665029,NaN,NaN,NaN
80,NaN,NaN,-0.580591783653975,NaN
85,NaN,0.461952965813432,NaN,0.0217274363911961
95,31.1904153842847,NaN,NaN,NaN
100,30.2676487569619,1.80356734486601,0.831119223138157,0.0341458585041627
150,NaN,0.384410772026127,0.534495768559313,-0.00883240481430025
