t,input_il6,STAT3_Obs
570,0.1,28.120784693975
570,0.1,30.8391303028765
570,0.5,30.1355082466794
570,0.5,33.3512939013844
570,1,27.8723508019633
570,1,35.1222695634121
570,2.5,29.5958716695245
570,2.5,32.5731532512948
570,5,30.1804650891927
570,5,34.3384364569336
570,10,30.2638555789235
570,10,30.6094420755004
570,25,26.3801567189068
570,25,33.6363385009587
570,50,29.8628338174455
570,50,31.4557830286372
570,100,32.9466965762969
570,100,34.4403795384796
570,500,30.4069829890642
570,500,31.1227660632918
