t,input_il6,STAT3_Obs
200,0.1,34.2831519205274
200,0.1,32.2305201568894
200,0.5,27.2989577096874
200,0.5,30.8801561288138
200,1,30.306870980042
200,1,35.025541202678
200,2.5,35.5042867925285
200,2.5,27.2571138583843
200,5,35.5454555779245
200,5,29.2917844034423
200,10,28.7802254230424
200,10,35.5055619872335
200,25,32.2370517505134
200,25,29.1937590671885
200,50,35.1914691663184
200,50,33.9829290869283
200,100,32.5270465477051
200,100,32.9740543836664
200,500,33.5624196604294
200,500,25.8418777006573
